Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Tsianos V.S., Kuster B.","36199134000;57189867564;","Eurodac in Times of Bigness: The Power of Big Data within the Emerging European IT Agency",2016,"Journal of Borderlands Studies","31","2",,"235","249",,11,"10.1080/08865655.2016.1174606","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975454486&doi=10.1080%2f08865655.2016.1174606&partnerID=40&md5=399e93dab358dad70096e92202da82b3","Universität Hamburg, Fakultät Wirtschafts- und Sozialwissenschaften, Fachbereich Sozialwissenschaften, Programmbereich Soziologie, Germany; Artist & Independent Researcher, Berlin, Germany","Tsianos, V.S., Universität Hamburg, Fakultät Wirtschafts- und Sozialwissenschaften, Fachbereich Sozialwissenschaften, Programmbereich Soziologie, Germany; Kuster, B., Artist & Independent Researcher, Berlin, Germany","Private and government sectors are operating hand in hand for biometric identity assurance solutions to meet security requirements at borders, for elections or for the private sector. Our paper will explore Eurodac, a large biometric information database concerning asylum applications and irregular border crossings, as part of the emerging European Big Data Economy. Drawing on the concept of the digital border and of the surveillance assemblage (Haggerty, Kevin D., and Richard V. Ericson. 2000. The Surveillant Assemblage. British Journal of Sociology 51, no. 4: 605–22) we understand Eurodac not only as a technological border but as inflected by social, symbolic, organizational and juridical cultures, practices, and imaginaries that are beyond the literal realm of the electronic space. Our paper investigates the dynamics of big data in the context of the integration of Eurodac within the larger framework of the European Agency for the operational management of large-scale IT systems in the area freedom, security and justice (EU-LISA). EU-LISA is the operational platform of three large-scale European databases with regards to foreigners and their mobility within and towards Europe, namely Eurodac, the Schengen Information System (SIS II) and the Visa Information System (VIS). This paper tries to outline some of the problems brought about when processing big amounts of data for the purpose of European immigration and identification policies. © 2016 Association for Borderlands Studies.",,,"Tsianos, V.S.; University of Applied Sciences Kiel, Sokratesplatz 1, Germany; email: Vassilis.Tsianos@FH-Kiel.de",,"Routledge",08865655,,,,"English","J. Borderl. Stud.",Article,"Final","",Scopus,2-s2.0-84975454486
"König M.","57210705811;","The borders, they are a-changin'! the emergence of socio-digital borders in the eu",2016,"Internet Policy Review","5","1",,"","",,2,"10.14763/2016.1.403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071255775&doi=10.14763%2f2016.1.403&partnerID=40&md5=1fe8a0b010cb1afe4b317c1d0ce0d3ff","Maastricht University, Netherlands","König, M., Maastricht University, Netherlands","Relying on big data, modern surveillance becomes increasingly influential in determining societal power relations. Lyon argues that modern surveillance always categorises people entailing social effects, what he conceptualises as social sorting. This paper assesses if patterns of social sorting can be found in the EU surveillance systems for migration Schengen Information System (SIS), Visa Information System (VIS) and EUROpean DACtylographic comparison system (EURODAC), which are planned to be merged in order to ensure maximum efficiency in surveillance. To do so, the paper analyses relevant documents referring to SIS, VIS and EURODAC. These systems have assumed the traditional border function of deciding on societal inclusion and exclusion. I argue that, to some extent, socio-digital borders are drawn along the categories established through social sorting. The paper exemplifies how social sorting relying on big data may be a disempowering surveillance practice. © 2016, Alexander von Humboldt Institute for Internet and Society. All rights reserved.","Big data; Borders; Social sorting",,"König, M.; Maastricht UniversityNetherlands",,"Alexander von Humboldt Institute for Internet and Society",21976775,,,,"English","Internet Policy Rev.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85071255775
"Soltes D.","37662386500;","Schengen e-Border Wall supported by the latest smart High-Tech ICT, but",2016,"WMSCI 2016 - 20th World Multi-Conference on Systemics, Cybernetics and Informatics, Proceedings","1",,,"189","193",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016769760&partnerID=40&md5=19b53b63d1532ad750ae5acc5665eaf9","Faculty of Management, Comenius University, Bratislava, 82005, Slovakia","Soltes, D., Faculty of Management, Comenius University, Bratislava, 82005, Slovakia","The paper is dealing with one of the currently most controversial issues in the EU regarding the protection of the external borders of the EU in the form of the so-called Schengen external border of the Union. On the one hand it is very difficult for the EU new member states to become a part of the Schengen border protection system as it requires a lot of effort and investments into the latest ICT technology and all various other technical but also organizational and personnel requirements but on the other hand right now we have been witnessing a real disastrous situation on the southern flank of the Schengen border where illegal immigrants especially from Africa are daily illegally entering the territory of the EU. However, by a certain paradox in many cases these illegal immigrants are entering the EU territory through the humanitarian aid to be extended to them by the EU costal border guards that on the basis of the principles of the International humanitarian law have to extend their help to these illegal immigrants in case of some necessary rescue operations from their drowning boats on the Mediterranean sea and bring them to the territory of the EU. The paper in more details will be dealing with this evident paradox between the latest ICT technology and humanitarian aspects of International humanitarian law.","CCTV; Sis - SCHENGEN information system; Smart ICT; The schengen area; The schengen external border of the eu","Closed circuit television systems; Cybernetics; Border guards; Border protection; Illegal immigrants; Mediterranean sea; New Member States; Rescue operations; Smart ICT; The schengen area; Crime","Soltes, D.; Faculty of Management, Slovakia","Callaos N.C.Sanchez B.Lace N.Savoie M.Tremante A.","International Institute of Informatics and Systemics, IIIS",,9781941763476,,,"English","WMSCI - World Multi-Conf. Syst., Cybern. Informatics, Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85016769760
"Kuster B., Tsianos V.S.","57189867564;36199134000;","How to liquefy a body on the move: Eurodac and the making of the European digital border",2016,"EU Borders and Shifting Internal Security: Technology, Externalization and Accountability",,,,"45","63",,8,"10.1007/978-3-319-17560-7_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006835863&doi=10.1007%2f978-3-319-17560-7_3&partnerID=40&md5=e409c21cdc6455822e881425151ba15c","Berlin, Germany; University of Applied Sciences Kiel, Sokratesplatz 1, Kiel, 24149, Germany","Kuster, B., Berlin, Germany; Tsianos, V.S., University of Applied Sciences Kiel, Sokratesplatz 1, Kiel, 24149, Germany","Using the example of Eurodac our paper concentrates on the digitization of European border controls. Eurodac, an information, communication and control technology operates by means of a European database, in which the fingerprints of asylum seekers and irregular migrants are stored. Eurodac works as a so-called Automated Fingerprint Identification System (AFIS) and is applied within the areas where the rules of the Dublin II regulation are applicable. By using the Eurodac database to reconstruct the one and only responsible Member State per asylum application Dublin II regulates the mobility of non-EU-citizens without a valid visa within the EU. We understand the present paper as an ethnographic contribution to the understanding of the socio-technological emergence of the digital border and the digitization of border conflicts. With recourse to Bruno Latour’s concepts of “blackboxing” and “immutable mobiles” we develop an analysis that allows us to describe some exemplary actor-networks of Eurodac following our multi-sited fieldwork. In this connection, we have localized the current crisis of the Schengen border regime at three different but interconnected spots: From Athens via Igoumenitsa to Bari and from there back and forth into European control centers. © Springer International Publishing Switzerland 2016.","Digital border; Digital deportability; Embodied identity of migration; EurodacEurodac",,"Kuster, B.Germany; email: brigittakuster@snafu.de",,"Springer International Publishing",,9783319175607; 9783319175591,,,"English","EU Borders and Shifting Intern. Security: Technology, Externalization and Account.",Book Chapter,"Final","",Scopus,2-s2.0-85006835863
"Bellanova R., Duez D.","36343448300;55789136600;","The making (sense) of EUROSUR: How to control the sea borders?",2016,"EU Borders and Shifting Internal Security: Technology, Externalization and Accountability",,,,"23","44",,17,"10.1007/978-3-319-17560-7_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006726062&doi=10.1007%2f978-3-319-17560-7_2&partnerID=40&md5=b6a40aef554b772560390ead43cc8477","Peace Research Institute Oslo (PRIO), Hausmanns gate 3, Oslo, 0186, Norway; Université Saint-Louis – Bruxelles, Brussels, Belgium; Institute for European Studies of the Université Saint-Louis – Bruxelles, Boulevard du Jardin botanique, 43, Bruxelles, 1000, Belgium","Bellanova, R., Peace Research Institute Oslo (PRIO), Hausmanns gate 3, Oslo, 0186, Norway, Université Saint-Louis – Bruxelles, Brussels, Belgium; Duez, D., Institute for European Studies of the Université Saint-Louis – Bruxelles, Boulevard du Jardin botanique, 43, Bruxelles, 1000, Belgium","The EUROSUR system is supposed to further the surveillance of external borders of European Union Member States. From this point of view, it can be considered an important step in the construction of a controlled space. Drawing inspiration from the Foucauldian attention to programs and technologies, and mobilizing the Actor-Network-Theory concepts of setting and actant, the paper investigates EUROSUR main methodological operations. It highlights how the making of a controlled space is, first and foremost, a mise-en-discours going well beyond surveillance and prohibition: a continuous effort to make sense of a disparate multiplicity, encompassing both human and nonhuman elements, both controlled and controlling ones. From a theoretical perspective, the chapter contributes to on-going endeavors to reinvigorate the post-structuralist studies of International Relations with approaches inspired by Actor-Network-Theory. © Springer International Publishing Switzerland 2016.","Digital border; Digital deportability; Embodied identity of migration; Eurodac; Keywords",,"Bellanova, R.; Peace Research Institute Oslo (PRIO), Hausmanns gate 3, Norway",,"Springer International Publishing",,9783319175607; 9783319175591,,,"English","EU Borders and Shifting Intern. Security: Technology, Externalization and Account.",Book Chapter,"Final","",Scopus,2-s2.0-85006726062
"Bianco S.L.","57194073463;","Deliberating justice policy in the European Union: A discursive perspective on day-to-day decision-making in European Union’s criminal justice cooperation",2016,"European Politics and Society","17","2",,"150","165",,1,"10.1080/23745118.2016.1120992","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968645199&doi=10.1080%2f23745118.2016.1120992&partnerID=40&md5=d46052aeff9963779a4af4f62592a368","Faculty of Public Management, Law and Security, The Hague University, The Hague, Netherlands","Bianco, S.L., Faculty of Public Management, Law and Security, The Hague University, The Hague, Netherlands","This paper argues that the adoption of new policy instruments of the European Union (EU) also emanate from everyday decision-making. Changes in EU policies are not only the consequences of ‘grand moments’ of treaty and institutional changes. In order to identify and explain changes in everyday decision-making, one should complement the traditional strategic bargaining perspective on decision-making with a constructivist view on discourse or language as sources of change. With the insights of both constructivists and communication theorists, this study focuses on the identification of conditions and occurrences of deliberation in the daily running of decision-making in the EU that allow for changes facilitating the adoption of new policy instruments. In this light a study of two cases will be presented of which each has taken place in a different institutional setting. The main analysis of this study is on the drafting process of the Framework Decision on the European Evidence Warrant of 2008. The findings of this analysis will be compared to findings of another analysis. It concerns the negotiations on the Council Decision of 2008 regarding access for consultation of the Visa Information System by law enforcement authorities. Analysis of both cases learned that in certain circumstances instances of deliberation and ensuing progress towards a more reasoned understanding actually occurred. © 2016 Taylor & Francis.","Constructivism; EU criminal justice; EU justice and home affairs; European Evidence Warrant; Visa Information System",,"Bianco, S.L.; Faculty of Public Management, Netherlands; email: s.lobianco@hhs.nl",,"Routledge",23745118,,,,"English","Eur. Pol. Soc.",Article,"Final","",Scopus,2-s2.0-84968645199
"Orrù E.","54397457300;","Surveillance and power in the EU [Sorveglianza e potere nella Unione europea]",2015,"Filosofia Politica","6","3",,"459","474",,,"10.1416/81386","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949203833&doi=10.1416%2f81386&partnerID=40&md5=6cc2569d5fc291229408f16ade6689ce","Centre for Security and Society / Husserl-Archiv, Albert-Ludwigs-Universität, Freiburg, Postfach 117, Freiburg, D-79098, Germany","Orrù, E., Centre for Security and Society / Husserl-Archiv, Albert-Ludwigs-Universität, Freiburg, Postfach 117, Freiburg, D-79098, Germany","Surveillance, understood as the collection of information about populations for supervision purposes, is a critical technique of social control. As such, it can reveal important features of the power that exercises it. The article analyses two contemporary surveillance measures in Europe: the Schengen Information System and the Directive 2006/24/EC on data retention. The analysis aims to identify the structural characteristics of the changing power of the EU and the role security plays in it. The main thesis is that security is a key element of the legitimacy claim of the expanding power of the EU. © 2015 Società editrice Il Mulino.","European Union; Legitimacy; Power; Surveillance",,"Orrù, E.; Centre for Security and Society / Husserl-Archiv, Postfach 117, Germany; email: elisa.orru@philosophie.uni-freiburg.de",,"Societa Editrice il Mulino",03947297,,,,"Italian","Filos. Polit.",Article,"Final","",Scopus,2-s2.0-84949203833
"Roots L.","56667479200;","The new EURODAC regulation: Fingerprints as a source of informal discrimination",2015,"Baltic Journal of European Studies","5","2",,"108","129",,1,"10.1515/bjes-2015-0016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959045919&doi=10.1515%2fbjes-2015-0016&partnerID=40&md5=9ab6f984d92f693eb1498a0c290b4cda","Tallinn Law School, Tallinn University of Technology, Akadeemia tee 3, Tallinn, 12618, Estonia","Roots, L., Tallinn Law School, Tallinn University of Technology, Akadeemia tee 3, Tallinn, 12618, Estonia","The EURODAC Regulation establishes the database of the fingerprints of asylum seekers. In 2015, the new EURODAC Regulation came in force and some basic concepts that were not in the previous regulation have been changed. The article analyzes the responses to the new EURODAC Regulation from UNHCR and the Commission and the threats that this new regulation is creating. This article aims to find out whether the changes introduced in the new EURODAC will bring potential discrimination concerns and whether asylum seekers are treated as potential criminals and therefore causing stigmatization of those groups of people in society. The article gives an overview of the EURODAC database, fingerprinting and biometric systems, and comparison of old and new EURODAC regulation. The full assessment of the application of the regulation can be done after it has been in force for some time.","Asylum seekers; Biometric systems; Database; Dublin regulation; EU regulation 604/2013; EURODAC; Fingerprints",,"Roots, L.; Tallinn Law School, Akadeemia tee 3, Estonia; email: lehte.roots@ttu.ee",,"De Gruyter Open Ltd",22280588,,,,"English","Baltic J. Eur. Stud.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-84959045919
"Vavoula N.","56724218500;","The recast eurodac regulation: Are asylum seekers treated as suspected criminals?",2015,"Seeking Asylum in the European Union: Selected Protection Issues Raised by the Second Phase of the Common European Asylum System","4",,,"247","273",,4,"10.1163/9789004290167_009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937159927&doi=10.1163%2f9789004290167_009&partnerID=40&md5=1ca509c6484d43234b2c7bb3532f6746","Athens Bar Association, United Kingdom","Vavoula, N., Athens Bar Association, United Kingdom",[No abstract available],,,"Vavoula, N.; Athens Bar AssociationUnited Kingdom",,"Brill",,9789004290167; 9789004290150,,,"English","Seek. Asylum in the Eur. Union: Sel. Prot. Issues Rais. by the Second Phase of the Common Eur. Asylum Syst.",Book Chapter,"Final","",Scopus,2-s2.0-84937159927
"Bauloz C., Ineli-Ciger M., Singer S., Stoyanova V.","56464309500;56724197200;55311989400;55293283300;","Seeking asylum in the European Union: Selected protection issues raised by the second phase of the common European asylum system",2015,"Seeking Asylum in the European Union: Selected Protection Issues Raised by the Second Phase of the Common European Asylum System","4",,,"1","297",,3,"10.1163/9789004290167","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937136360&doi=10.1163%2f9789004290167&partnerID=40&md5=e04e2fe50d8314356d8958c43a1c4a46","National Centre of Competence in Research, The Migration-Mobility Nexus, Switzerland; University of Bristol Law School, United Kingdom; School of Advanced Study, University of London, United Kingdom; Lund University, Sweden","Bauloz, C., National Centre of Competence in Research, The Migration-Mobility Nexus, Switzerland; Ineli-Ciger, M., University of Bristol Law School, United Kingdom; Singer, S., School of Advanced Study, University of London, United Kingdom; Stoyanova, V., Lund University, Sweden","Seeking Asylum in the European Union provides critical analyses of selected problems that scholars and policy-makers will have to address in the 'second phase' of the Common European Asylum System: the comprehensive recast of European asylum legislation completed in 2013. With a foreword by Professor Hélène Lambert. © 2015 by Koninklijke Brill nv, Leiden, The Netherlands. All rights reserved.","EURODAC; Mass influx; Trafficking",,"Bauloz, C.; National Centre of Competence in Research, The Migration-Mobility NexusSwitzerland",,"Brill",,9789004290167; 9789004290150,,,"English","Seek. Asylum in the Eur. Union: Sel. Prot. Issues Rais. by the Second Phase of the Common Eur. Asylum Syst.",Book,"Final","",Scopus,2-s2.0-84937136360
"Pedersen M.J.","56939928900;","The intimate relationship between security, effectiveness, and legitimacy: a new look at the Schengen compensatory measures",2015,"European Security","24","4",,"541","559",,3,"10.1080/09662839.2015.1014808","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050001116&doi=10.1080%2f09662839.2015.1014808&partnerID=40&md5=ea5dcdbde7a4c39a8b66d0ac20601b1c","Department of Political Science, University of Copenhagen, Copenhagen, Denmark","Pedersen, M.J., Department of Political Science, University of Copenhagen, Copenhagen, Denmark","The so-called Schengen compensatory measures such as the Schengen Information System (SIS) or the European Dactylographic System (Eurodac) have been the centre of much attention. However, the research on these security measures has focused almost solely on their effect on liberty, human rights, and the like. Not much attention has been given to the actual effectiveness of the security remedies taken in the European Union (EU) to compensate for the abolition of border controls, despite effectiveness being an obvious source of legitimacy in the realm of security. This article takes a first step in the direction of correcting this neglect and develops the foundations for an analytical framework focusing on effectiveness and legitimacy. The framework is illustrated through a minor analysis of the legal and institutional set-up of SIS and Eurodac as examples pointing to sources of ineffectiveness in the very set-up of the databases. © 2015 Taylor & Francis.","effectiveness; Eurodac; European Union; legitimacy; output; security; SIS",,"Pedersen, M.J.; Department of Political Science, Denmark; email: mjp@ifs.ku.dk",,"Taylor and Francis Ltd.",09662839,,,,"English","Eur. Secur.",Article,"Final","",Scopus,2-s2.0-85050001116
"Li G., Yang B., Busch C.","55871431000;7404472502;7101767185;","A score-level fusion fingerprint indexing approach based on minutiae vicinity and minutia cylinder-code",2014,"2nd International Workshop on Biometrics and Forensics, IWBF 2014",,,"6914238","","",,15,"10.1109/IWBF.2014.6914238","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934324022&doi=10.1109%2fIWBF.2014.6914238&partnerID=40&md5=11024d5867d69874a8a0309f1ec954ec","Norwegian Information Security Laboratory, Gjøvik University College, Norway","Li, G., Norwegian Information Security Laboratory, Gjøvik University College, Norway; Yang, B., Norwegian Information Security Laboratory, Gjøvik University College, Norway; Busch, C., Norwegian Information Security Laboratory, Gjøvik University College, Norway","Due to the uniqueness and permanence properties of the biometric fingerprint characteristic, large scale in border control and governmental applications such as the Visa Information System (VIS) in Europe, US-VISIT / IDENT system in the USA and the Aadhaar project in India are based on fingerprint recognition. These systems generally contain millions of fingerprint samples. In order to improve the efficiency in seeking for suitable candidate reference data in such large-scale databases, studying indexing techniques for fingerprints is desirable. In this paper, we design a new indexing method using the features extracted from minutia details including location, direction and ridge information. Then a score-level fusion indexing approach is proposed by combing this new method with the minutia cylinder-code (MCC) indexing method. The results demonstrate the improvement of the proposed approach based on experiments on several public fingerprint databases. © 2014 IEEE.","biometric database; fingerprint indexing; minutia cylinder-code; minutiae vicinity","Biometrics; Codes (symbols); Cylinders (shapes); Database systems; Biometric database; Fingerprint indexing; Fingerprint Recognition; Governmental applications; Large-scale database; Minutia cylinder codes; minutiae vicinity; Visa information systems; Indexing (of information)",,,"Institute of Electrical and Electronics Engineers Inc.",,9781479943708,,,"English","Int. Workshop Biom. Forensics, IWBF",Conference Paper,"Final","",Scopus,2-s2.0-84934324022
"Ajana B.","57204228752;","Asylum, identity management and biometric control",2013,"Journal of Refugee Studies","26","4","fet030","576","595",,28,"10.1093/jrs/fet030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889009974&doi=10.1093%2fjrs%2ffet030&partnerID=40&md5=58abb173818fdf7ed99d9577aec919bf","Department of Culture, Media and Creative Industries, King's College London, United Kingdom","Ajana, B., Department of Culture, Media and Creative Industries, King's College London, United Kingdom","The article addresses a particular aspect of the relationship between asylum issues and information and communication technologies (ICTs), namely the deployment and 'function creep' of biometrics within the field of asylum management. Current debates on this issue have been largely restricted to a technologically determinist approach that reduces the focus to problems of data misuse and privacy, precluding other pertinent ethical and political concerns. In response, the article engages with Giorgio Agamben's elaborations on the concepts of biopolitics and exception as an alternative way of analysing the use of biometric technology in the governance of forced migrants. It begins with a critical overview of Agamben's conceptualization of biopolitics and the state of exception. It then considers the Eurodac database and the UK's asylum Application Registration Cards as examples to demonstrate how current policies of immigration control and border management are implicated in the logic of exception. It argues that illiberal practices, such as biometric profiling and fingerprinting of asylum seekers and their incarceration in detention centres, are being enforced upon certain groups in ways that render their exclusion from the official juridico-political structure as an 'inclusive exclusion'. Importantly, the function creep of biometrics is not to be understood as the turning of exception into the rule in a somewhat homogenous way, but more as a polysemic process, which involves different forms of discipline and control that are irreducible to one singular paradigm. © The Author 2013.Published by Oxford University Press.All rights reserved.","Agamben; Asylum; Biometrics; Biopolitics; ICTs; Refugees","asylum seeker; biometry; immigration policy; information and communication technology; national identity; political integration; refugee; social exclusion; United Kingdom","Ajana, B.; Department of Culture, United Kingdom; email: btihaj.ajana@kcl.ac.uk",,,09516328,,,,"English","J. Refugee Stud.",Article,"Final","",Scopus,2-s2.0-84889009974
"Scheel S.","55762175200;","Autonomy of Migration Despite Its Securitisation? Facing the Terms and Conditions of Biometric Rebordering",2013,"Millennium: Journal of International Studies","41","3",,"575","600",,60,"10.1177/0305829813484186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878871306&doi=10.1177%2f0305829813484186&partnerID=40&md5=4298d03a540dc968e4be56ff25871bbf","Department of Political and International Studies (POLIS), Faculty of Social Sciences, The Open University, Walton Hall, Milton Keynes MK7 6AA, United Kingdom","Scheel, S., Department of Political and International Studies (POLIS), Faculty of Social Sciences, The Open University, Walton Hall, Milton Keynes MK7 6AA, United Kingdom","This article reconsiders the concept of autonomy of migration in the context of technologically ever-more sophisticated border regimes by focusing on the case of biometric rebordering. As its name suggests, the concept of autonomy of migration's core thesis proposes that migratory movements yield moments of autonomy in regards to any attempt to control and regulate them. Yet, the concept of autonomy of migration has been repeatedly accused of being based on and contributing to a romanticisation of migration. After outlining two advantages the concept of autonomy of migration offers for the analysis of biometric border regimes, I demonstrate that processes of biometric rebordering increase the warranty of the two allegations, which feed this major critique. Drawing on examples relating to the Visa Information System, I show that processes of biometric rebordering alter the practical terms and material conditions for moments of autonomy of migration to such an extent that it becomes necessary to rethink not only some of the concept of autonomy of migration's central features, but the notion of autonomy itself. In the final section, I therefore point out some directions to develop the concept of autonomy of migration as an approach, which is better equipped to investigate today's struggles of migration without being prone to the critique of implicating a romanticisation of migration. © The Author(s) 2013.","Autonomy of migration; biometric rebordering; securitisation; security dispositif; situated knowledge",,"Scheel, S.; Department of Political and International Studies (POLIS), Walton Hall, Milton Keynes MK7 6AA, United Kingdom; email: stephan.scheel@open.ac.uk",,,03058298,,,,"English","Millennium J. Int. Stud.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84878871306
"Dóczi Z.","55753415900;","The development, the integration and the assessment of the existing large-scale IT systems in the area of freedom, security and justice",2013,"Acta Juridica Hungarica","54","2",,"164","183",,,"10.1556/AJur.54.2013.2.4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878434229&doi=10.1556%2fAJur.54.2013.2.4&partnerID=40&md5=f1d5f222bf328bf188029114e1b130db","Corvinus University of Budapest, Faculty of Social Sciences, Institute for International Studies, Közraktár u. 4-6, H-1093 Budapest, Hungary","Dóczi, Z., Corvinus University of Budapest, Faculty of Social Sciences, Institute for International Studies, Közraktár u. 4-6, H-1093 Budapest, Hungary","The abolishment of the internal border checks and the common procedures at the external borders fosters the decision-making of the European Union to establish large-scale IT systems in the area of freedom, security and justice. The decrease of the security deficit by the control of immigration flow consists of three endeavours: the common border control policy, the common visa policy and the common asylum policy. The aim of this paper is to analyse and evaluate the development of the operational management of large-scale IT systems in the area of freedom, security and justice. The development process of these systems is not more than their integration into the so-called IT Agency. This new regulatory agency was established in January 2012. It has merged the operational management tasks of the further developed version of SIS (the SIS II), VIS and EURODAC and it is flexible to add other existing and potential new systems. Hence, the added-value of the IT Agency is to be assessed, since new technologies shall be harnessed to meet the requirements of enhancing security and facilitating travel at the external borders.","facilitate travel; information power; large-scale IT systems; Schengen; security deficit",,"Dóczi, Z.; Corvinus University of Budapest, Közraktár u. 4-6, H-1093 Budapest, Hungary",,,12162574,,,,"English","Acta Juridica Hung.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84878434229
"Vukov T., Sheller M.","57209672114;6603548368;","Border work: Surveillant assemblages, virtual fences, and tactical counter-media",2013,"Social Semiotics","23","2",,"225","241",,46,"10.1080/10350330.2013.777592","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878145168&doi=10.1080%2f10350330.2013.777592&partnerID=40&md5=2dfbcb15748daa9b4db8e12dcf03078b","Department of Communication, Université de Montréal, Quebec, Canada; Center for Mobilities Research and Policy, Drexel University, Philadelphia, PA, United States","Vukov, T., Department of Communication, Université de Montréal, Quebec, Canada; Sheller, M., Center for Mobilities Research and Policy, Drexel University, Philadelphia, PA, United States","The new technologies of bio-informatic border security and remote surveillance that have emerged as key infrastructures of reconfigured mobility regimes depend on various kinds of labor to produce the effect of bordering. The current retrofitting and technological remediation of borders suggests their transformation away from static demarcators of hard territorial boundaries toward much more sophisticated, flexible, and mobile devices of tracking, filtration, and exclusion. Borders require the labor of software developers, designers, engineers, infrastructure builders, border guards, systems experts, and many others who produce the ""smart border""; but they also depend on the labor of ""data-ready"" travelers who produce themselves at the border, as well as the underground labor of those who traffic in informal and illegalized economies across such borders. Bordering increasingly relies on technological forms of mediation that are embedded within hi-tech, military and private corporate logics, but are also resisted by electronic and physical ""hacks"" or bypassing of informational and infrastructural architectures. In this paper we consider three socio-technological assemblages of the border, and the labor which makes and unmakes them: (1) the interlocking ""cyber-mobilities"" of contemporary airports including visual technologies for baggage, cargo, and passenger inspection, as well as information technologies for passenger dataveillance, air traffic control, and human resource systems; (2) the development of the Schengen Information System database of the EU, and its implications for wider migrant rights and internal mobility within the EU, as well as radical border media that have attempted to intervene in that border space; and (3) elements of the US-Mexico ""smart border"" regime known as the Secure Border Initiative Network (2006-2011), and those who have tried to tactically evade, disrupt, or undermine the working of this border. © 2013 Copyright Taylor and Francis Group, LLC.","bio-informatics; mobility; security; smart border; tactical media",,"Vukov, T.; Department of Communication, , Quebec, Canada; email: tamara.vukov@umontreal.ca",,,10350330,,,,"English","Soc. Semiot",Article,"Final","",Scopus,2-s2.0-84878145168
"Pugliese J.","6603440873;","Technologies of extraterritorialisation, statist visuality and irregular migrants and refugees",2013,"Griffith Law Review","22","3",,"571","597",,16,"10.1080/10383441.2013.10877013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924148702&doi=10.1080%2f10383441.2013.10877013&partnerID=40&md5=9ec721c3cae3b182297baee6fe30897a","Department of Media, Music, Communication and Cultural Studies, Macquarie University, Australia","Pugliese, J., Department of Media, Music, Communication and Cultural Studies, Macquarie University, Australia","This article examines the increasing use of technologies of surveillance and identification by both the European Union and Australia in order to biopolitically preclude and control the entry of irregular migrants, refugees and asylum seekers from the global South. The central concern of the article is how these technologies of extraterritorialisation, as deployed by the state, function to constitute regimes of statist visuality that produce both symbolic and physical forms of violence for their target subjects. In the course of the article, I critically examine the European Union’s EUROSUR project, Frontex and its Eurodac system and Australia’s Migration Legislation Amendment (Identification and Authentication) Act 2004 in order to stage a comparison of the various modalities of statist visuality deployed by states in their biopolitical governance of irregular migrants, refugees and asylum seekers, and to bring into critical focus the often lethal effects of these regimes of statist visuality. I conclude by presenting a form of counter-visuality to the state’s way of seeing by discussing the work of the contemporary Moroccan-French visual artist Bouchra Khalili, whose Mapping Journey Project stands as an agentic resignification and reclamation of the fraught journeys of irregular migrants through the surveilled lands of the global North. © 2015 Routledge. All rights reserved.",,,"Pugliese, J.; Department of Media, Australia",,"Routledge",10383441,,,,"English","Griffith Law Rev.",Article,"Final","",Scopus,2-s2.0-84924148702
