Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Schuster L.","7004083883;","Turning refugees into 'illegal migrants': Afghan asylum seekers in Europe",2011,"Ethnic and Racial Studies","34","8",,"1392","1407",,77,"10.1080/01419870.2010.535550","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960575611&doi=10.1080%2f01419870.2010.535550&partnerID=40&md5=a500e4284c7d419409130fac82432659","Department of Sociology, City University, Northampton Square, London EC1V 0HB, United Kingdom","Schuster, L., Department of Sociology, City University, Northampton Square, London EC1V 0HB, United Kingdom","Each year refugees transit southern EU Member States where in theory they should claim asylum but where in reality they have little chance of being able to make a claim, and almost no chance of having it examined properly, much less being actually granted asylum. This paper argues that the current EU regime turns some refugees into undocumented migrants - 'illegal migrants' in political and public discourse - and shields EU Member States from their international legal obligations. The article illustrates the effect of EU asylum policy through a case study of a group of young Afghan men in Paris. © 2011 Taylor & Francis.","Afghans; Asylum seekers; Dublin II; Eurodac; France; Greece","Asian immigrant; asylum seeker; European Union; illegal immigrant; immigration policy; international migration; refugee; County Dublin; Dublin [County Dublin]; France; Greece; Ile de France; Ireland; Leinster; Paris; Ville de Paris","Schuster, L.; Department of Sociology, Northampton Square, London EC1V 0HB, United Kingdom; email: l.schuster@city.ac.uk",,,01419870,,,,"English","Ethn. Racial Stud.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-79960575611
"Ippolito F., Velluti S.","55374308900;10141748800;","The recast process of the eu asylum system: A balancing act between efficiency and fairness",2011,"Refugee Survey Quarterly","30","3","hdr009","24","62",,15,"10.1093/rsq/hdr009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052202086&doi=10.1093%2frsq%2fhdr009&partnerID=40&md5=31fd01cef2f12ae544f76b77f238f971","International Law and European Union Law, School of Politics, University of Cagliari, Italy; University of Lincoln, United Kingdom","Ippolito, F., International Law and European Union Law, School of Politics, University of Cagliari, Italy; Velluti, S., University of Lincoln, United Kingdom","The article examines and assesses the various instruments developed at the European level for granting protection to asylum-seekers. It starts by providing an historical overview of asylum and immigration law and policy in the European Union, from its origins to the changes introduced by the Lisbon Treaty and recast proposals of existing legislative instruments. In so doing, the article critically examines whether the European Union provides an adequate framework for protecting those seeking international protection both from the perspective of effectiveness and fairness and shows that despite some changes ensuring a stronger level of protection of asylum-seekers the recast process still does not ensure an equal standard of protection across European Union Member States. © The Author [2011]. All rights reserved.","Common eruropean asylum system; Dublin regulation recast; EURODAC regulation recast; European union asylum law","asylum seeker; European Union; immigration policy; international migration; legislative implementation; regulatory framework; Europe","Ippolito, F.; International Law and European Union Law, Italy",,,10204067,,,,"English","Refugee Surv. Q.",Article,"Final","",Scopus,2-s2.0-80052202086
"Buczma S.R.","54386571400;","ECRIS-a step leading to the establishment of a coherent European platform for exchange of information-remarks from a Polish perspective",2011,"ERA Forum","12","3",,"465","478",,,"10.1007/s12027-011-0232-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80955135476&doi=10.1007%2fs12027-011-0232-x&partnerID=40&md5=9c51f94beafd26270094d521c2e9dee3","National Delegate to CDPC, Committee in the Council of Europe and a National Expert in the Council of the European Union, Warsaw, Poland","Buczma, S.R., National Delegate to CDPC, Committee in the Council of Europe and a National Expert in the Council of the European Union, Warsaw, Poland","This article aims to provide the reasons why amendments were effected to the Polish legal system so as to join in the system for the exchange of information established within the European Union. It covers the most important phases in this process, beginning with the accession to European Convention on Mutual Assistance in Criminal Matters, which was adopted in Strasbourg on 20 April, 1959 and which ending in the drafting of provisions aimed at amending the Law on the National Criminal Register, which implement into the Polish legal system Council Decision 2009/316/JHA of 6 April 2009 on the establishment of the European Criminal Records Information System (ECRIS) in application of Article 11 of Framework Decision 2009/315/JHA. © 2011 ERA.","Establishment of an efficient system to combat cross-border criminality; Exchange of information based on international instruments; National Criminal Register",,"Buczma, S. R.; National Delegate to CDPC, , Warsaw, Poland; email: slaw_cz@o2.pl",,,16123093,,,,"English","ERA Forum",Article,"Final","",Scopus,2-s2.0-80955135476
"Pawlak P., Kurowska X.","35192279000;35192111500;","The fog of border: The fragmentation of the European Union’s border policies",2012,"European Homeland Security: A European Strategy in the Making?",,,,"126","144",,,"10.4324/9780203122457-12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123146228&doi=10.4324%2f9780203122457-12&partnerID=40&md5=dd0fcfb0533182d9b3bc77873164e50a","European Union Institute for Security Studies (EUISS), Paris, France; Central European University, Budapest, Hungary","Pawlak, P., European Union Institute for Security Studies (EUISS), Paris, France; Kurowska, X., Central European University, Budapest, Hungary","The European Union (EU) has developed a number of frameworks and instruments related to the management of its external borders, which have stimulated a substantial scholarly interest (Carrera 2007; Marenin 2010; Wolff 2010; Zapata-Barrero 2010). The number of border management tools has substantially expanded and includes simple fences and more sophisticated optical and electro-optical sensors, information technology (IT) intrusion detection systems, biometrical and patterns sensors and systems, manned and unmanned aircrafts, as well as intelligent surveillance means. Altogether, the border management security market amounts to C22 billion in the US and C10 billion in Europe. In addition, a multitude of ‘stakeholders’ has largely expanded to include not only traditional border management actors (e.g. the DG Justice and the DG Home Affairs in the European Commission, Interpol, Europol or the Customs Cooperation Working Party), but also the European Union AntiFraud Office (OLAF), the United Nations High Commissioner for Refugees (UNHCR), the Fundamental Rights Agency (FRA), the European Maritime Safety Agency (EMSA), the Global Monitoring for Environment and Security (GMES) programme, the Joint Research Centre (JRC), the European Union Satellite Centre (EUSC), the European Defence Agency (EDA) or the European Security Research and Innovation Forum (ESRIF). Operational cooperation on border management is mostly structured around the activities of the European Patrol Network and the External Borders Agency Frontex (joint operations, Focal Points, Rapid Border Intervention Teams, risk analysis, training, technical assistance to Member States), which is the focus of the next chapter. The implementation of these measures is supported through the use of burden-sharing tools like the Schengen Facility (e.g. C400 million for Romania and Bulgaria in 2007-2009) and the External Border Fund, which amounts to C1.82 billion for the period 2007-2013, the major part of which is distributed among Member States depending on their burden regarding external border controls and visa policy. Several new legislative proposals are in the making concerning, among others, the amendment of the Schengen Borders Code, setting up an Entry Exit System (EES) and a Registered Traveller Programme (RTP), as well as the start of operations of the Agency for the operational management of large-scale IT systems in the Area of Freedom, Security and Justice (AFSJ). These developments give rise to an intricate system for the defence of the EU’s realm where the construction of the border depends on its dislocation, both political and spatial. The three clusters of border policy repertoires described in this chapter, surveillance, smart borders and integrated border management, epitomise the emerging practice the EU has engaged in. They reflect the ‘pushing-out of borders’ in two distinctive ways: through technological devices and a particular relationship with the neighbour. The latter relies on attempts to prevent the border-related threat from entering the EU’s realm by shifting increasing responsibility to contain it onto the neighbour. This move is accompanied by conditionality (e.g. the pressure towards readmission tied with the promises of visa facilitation) and the projection of the EU political and social model geared at a systemic reform of the neighbour. A quote from the EU Internal Security Strategy (ISS) reflects the rationale underpinning this logic: ‘The quality of our democracy and public confidence in the Union will depend to a large extent on our ability to guarantee security and stability in Europe and to work with our neighbours and partners to address the root causes of the internal security problems faced by the EU’ (European Council 2010b: 9). Here the externally assisted reform, most explicitly in our case integrated border management and security sector reform, turn into modern state-building.1. © 2012 Selection and editorial material, Christian Kaunert, Sarah Léonard and Patryk Pawlak.",,,,,"Taylor and Francis",,9781136332777; 9780415677943,,,"English","European Homeland Security: A European Strategy in the Mak.?",Book Chapter,"Final","",Scopus,2-s2.0-85123146228
"Boehm F.","36008031200;","Information sharing in the area of freedom security and justice—towards a common standard for data exchange between agencies and EU information systems",2012,"European Data Protection: In Good Health?",,,,"143","183",,2,"10.1007/978-94-007-2903-2_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949460812&doi=10.1007%2f978-94-007-2903-2_8&partnerID=40&md5=ffa1a43fb36fb76130b90b23ff6338ec","University of Luxembourg, Luxembourg","Boehm, F., University of Luxembourg, Luxembourg","Information sharing, including the exchange of personal data, between European law enforcement and judicial actors in the Area of Freedom, Security and Justice (AFSJ) is increasingly growing. In addition, the access of law enforcement and judicial agencies (Europol, Eurojust) to data stored in the European information systems, such as the CIS, SIS (II), VIS or Eurodac seems to become an essential tool in the field of EU internal security policy. Without being limited by the former pillar constraints, and above all, in absence of a unified approach to data protection in the former third pillar, the main actors in this field increasingly exchange data between each other as well as with third states. The paper illustrates the existing and the planned instruments governing AFSJ data exchange as well as their compliance with data protection rules. After that it suggests some basic data protection standards which follow from the respect of Article 8 ECHR and would improve the respect of data protection rules in the field of information sharing between agencies and EU agencies and information system. © Springer Science+Business Media B.V. 2012.",,,"Boehm, F.; University of LuxembourgLuxembourg; email: franziska.boehm@uni.lu",,"Springer Netherlands",,9789400729032; 9789400729025,,,"English","European Data Protection: In Good Health?",Book Chapter,"Final","",Scopus,2-s2.0-84949460812
"Zorin U., Rijavec R., Pirc J., Gostiša B., Gorup S.","54785731100;36714371900;55763248200;55765263300;6506825266;","Functional ITS on slovenian motorways",2012,"19th Intelligent Transport Systems World Congress, ITS 2012",,,,"EU","00093",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896926668&partnerID=40&md5=12f8148f963d00041e0f9d07e5a4c2e2","DARS, Ulica XIV. Divizije 4, SI-3000 Celje, Slovenia; University of Ljubljana, Faculty of Civil and Geodetic Engineering, Slovenia; Traffic design, Slovenia","Zorin, U., DARS, Ulica XIV. Divizije 4, SI-3000 Celje, Slovenia; Rijavec, R., University of Ljubljana, Faculty of Civil and Geodetic Engineering, Slovenia; Pirc, J., Traffic design, Slovenia; Gostiša, B., Traffic design, Slovenia; Gorup, S.","The road transport has seen many changes in last 10 years in Slovenia. Finishing of Motorway cross (parts of EU corridors 5 and 10) the country has moved in new era of faster, more accessible road traffic. At the same time many ITS systems were installed and upgraded to ensure smooth and safe traffic flow at the increasing traffic volumes. Several new tunnels were built, most notably Šentvid motorway tunnel, which has highest daily volume of all Slovenian tunnels. New traffic safety systems which were installed are presented in the paper. Open road traffic safety and driver information systems, largest national road ITS project, are also detailed. Advances have been made in the area of road weather sensors with unified information system and in emergency call systems with gradual transition to VoIP architecture. Four regional motorway control centres with full-time staff were established with all necessary infrastructures to monitor traffic situation and react in case of dangerous events by using VMSes or deploying field units. The focus of ITS in Slovenia was therefore on motorways, but there were several successful projects also outside of this scope. The intersection system of city of Ljubljana was increased from 117 to 207 intersections under central system control. Also, with entrance of Slovenia in Schengen area in 2007, the new customs service information system was put into operation featuring cargo vehicle control and tracking at the border crossings. This paper describes these various ITS project and experience learned during their installation and operation. It also provides some ideas for future development and enhancements.","ITS; Traffic management system; Tunnels","Advanced driver assistance systems; Advanced traffic management systems; Control system synthesis; Information systems; Internet telephony; Management information systems; Network architecture; Roads and streets; Safety engineering; Traffic control; Tunnels; Border crossings; Driver information systems; Emergency call systems; Gradual transition; ITS; Motorway tunnels; Traffic management systems; Traffic situations; Highway planning","Zorin, U.; DARS, Ulica XIV. Divizije 4, SI-3000 Celje, Slovenia; email: uzorin@dars.si",,"Intelligent Transportation Society of America",,,,,"English","Intell. Transp. Syst. World Congr.",Conference Paper,"Final","",Scopus,2-s2.0-84896926668
"Boehm F.","36008031200;","Information sharing and data protection in the area of freedom, security and justice: Towards harmonised data protection principles for information exchange at EU-level",2012,"Information Sharing and Data Protection in the Area of Freedom, Security and Justice: Towards Harmonised Data Protection Principles for Information Exchange at EU-Level","9783642223921",,,"1","467",,26,"10.1007/978-3-642-22392-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949175458&doi=10.1007%2f978-3-642-22392-1&partnerID=40&md5=791eb1cea90e3aedd171bff4d97a4870","University of Luxembourg, Interdisciplinary Centre for Security, Reliability and Trust (SnT), 6, rue Richard Coudenhove Kalergi, Luxembourg","Boehm, F., University of Luxembourg, Interdisciplinary Centre for Security, Reliability and Trust (SnT), 6, rue Richard Coudenhove Kalergi, Luxembourg","Privacy and data protection in police work and law enforcement cooperation has always been a challenging issue. Current developments in EU internal security policy, such as increased information sharing (which includes the exchange of personal data between European law enforcement agencies and judicial actors in the area of freedom, security and justice (Europol, Eurojust, Frontex and OLAF)) and the access of EU agencies, in particular Europol and Eurojust, to data stored in European information systems such as the SIS (II), VIS, CIS or Eurodac raise interesting questions regarding the balance between the rights of individuals and security interests. This book deals with the complexity of the relations between these actors and offers for the first time a comprehensive overview of the structures for information exchange in the area of freedom, security and justice and their compliance with data protection rules in this field. © Springer-Verlag Berlin Heidelberg 2012. All rights are reserved.",,,"Boehm, F.; University of Luxembourg, 6, rue Richard Coudenhove Kalergi, Luxembourg",,"Springer-Verlag Berlin Heidelberg",,9783642223921; 3642223915; 9783642223914,,,"English","Info. Shar. and Data Protect. in the Area of Freedom, Secty. and Justice: Towards Harmonised Data Protect. Principles for Info. Exch. at EU-Level",Book,"Final","",Scopus,2-s2.0-84949175458
"Takle M.","6507459094;","The treaty of lisbon and the european border control regime",2012,"Journal of Contemporary European Research","8","3",,"280","299",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872947337&partnerID=40&md5=c387c575a9669a02cb0e2afa9c242f5d","Norwegian Social Research (Nova), Norway","Takle, M., Norwegian Social Research (Nova), Norway","The question raised in the article is how the new provisions of the Lisbon Treaty and the Stockholm programme concerning the EU's asylum and migration policy might consolidate existing trends within the European border control regime. The regime is defined by a combination of three features: (i) a harmonisation of categories among the EU/Schengen member states, (ii) a growing use of new technology in networked databases and (iii) an increasing sorting of individuals based on security concerns. Although none of these features is new, the combination gives a new impetus to the European border control regime. The article concludes that the Lisbon Treaty and the Stockholm programme consolidate and strengthen existing trends. This implies that policies on border control, asylum, immigration, judicial cooperation and police cooperation are consolidated in a broader approach to border control, and that there is a strengthening of EU foreign policy within the European border control regime. The boundaries between previously dispersed policy areas are blurred. The combination of different aspects of security and various levels of authority requires coordination of policies with substantially different goals, and goes beyond mere border control.","Border control; Databases; Global Approach to Migration; Schengen; Security; Stockholm programme; Treaty of Lisbon",,"Takle, M.; Norwegian Social Research (Nova)Norway",,,1815347X,,,,"English","J. Contemp. Eur. Res.",Article,"Final","",Scopus,2-s2.0-84872947337
"Pugliese J.","6603440873;","Technologies of extraterritorialisation, statist visuality and irregular migrants and refugees",2013,"Griffith Law Review","22","3",,"571","597",,16,"10.1080/10383441.2013.10877013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924148702&doi=10.1080%2f10383441.2013.10877013&partnerID=40&md5=9ec721c3cae3b182297baee6fe30897a","Department of Media, Music, Communication and Cultural Studies, Macquarie University, Australia","Pugliese, J., Department of Media, Music, Communication and Cultural Studies, Macquarie University, Australia","This article examines the increasing use of technologies of surveillance and identification by both the European Union and Australia in order to biopolitically preclude and control the entry of irregular migrants, refugees and asylum seekers from the global South. The central concern of the article is how these technologies of extraterritorialisation, as deployed by the state, function to constitute regimes of statist visuality that produce both symbolic and physical forms of violence for their target subjects. In the course of the article, I critically examine the European Union’s EUROSUR project, Frontex and its Eurodac system and Australia’s Migration Legislation Amendment (Identification and Authentication) Act 2004 in order to stage a comparison of the various modalities of statist visuality deployed by states in their biopolitical governance of irregular migrants, refugees and asylum seekers, and to bring into critical focus the often lethal effects of these regimes of statist visuality. I conclude by presenting a form of counter-visuality to the state’s way of seeing by discussing the work of the contemporary Moroccan-French visual artist Bouchra Khalili, whose Mapping Journey Project stands as an agentic resignification and reclamation of the fraught journeys of irregular migrants through the surveilled lands of the global North. © 2015 Routledge. All rights reserved.",,,"Pugliese, J.; Department of Media, Australia",,"Routledge",10383441,,,,"English","Griffith Law Rev.",Article,"Final","",Scopus,2-s2.0-84924148702
"Guiraudon V.","6602850416;","The European Union and refugees: A policy which shows little solidarity [L'Europe et les réfugiés : Une politique peu solidaire]",2013,"Pouvoirs: Revue d'Etudes Constitutionnelles et Politiques","144","1",,"79","89",,,"10.3917/pouv.144.0079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879067511&doi=10.3917%2fpouv.144.0079&partnerID=40&md5=1d66cccb2c7a5165f9b717f2f2583ef8",,"Guiraudon, V.","The intergovernmental cooperation aiming to limit the number of asylum seekers dates back to the 1980s, even though the heads of States and governments of the member states of the Union decided to create a common asylum policy only in 1999. The entry into force of the Treaty of Amsterdam granted the European institutions a more prominent role in the drafting of policies regarding immigration, asylum and external borders management. However, the legislative texts only aim at a minimum harmonization of the member states policies. In fact, instead of a European asylum policy, what has emerged is a policy of non-access to asylum through a number of measures such as making visas compulsory to enter Europe, imposing penalties against carriers, or codifying the notions of ""safe"" countries and ""manifestly unfounded demands"". Rather than introducing a common policy, the Dublin agreements and the Eurodac data base have made it possible to send asylum seekers from country to country. Thus, European asylum policy shows little solidarity and benefits only the ministries of those countries which have elaborated an informal system as early as 1985 in order to stop welcoming asylum seekers. © 2013 Le Seuil. All rights reserved.",,,"Guiraudon, V.",,,01520768,,,,"French","Pouvoirs Rev. Etud. Const. Polit.",Article,"Final","",Scopus,2-s2.0-84879067511
"Vukov T., Sheller M.","57209672114;6603548368;","Border work: Surveillant assemblages, virtual fences, and tactical counter-media",2013,"Social Semiotics","23","2",,"225","241",,46,"10.1080/10350330.2013.777592","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878145168&doi=10.1080%2f10350330.2013.777592&partnerID=40&md5=2dfbcb15748daa9b4db8e12dcf03078b","Department of Communication, Université de Montréal, Quebec, Canada; Center for Mobilities Research and Policy, Drexel University, Philadelphia, PA, United States","Vukov, T., Department of Communication, Université de Montréal, Quebec, Canada; Sheller, M., Center for Mobilities Research and Policy, Drexel University, Philadelphia, PA, United States","The new technologies of bio-informatic border security and remote surveillance that have emerged as key infrastructures of reconfigured mobility regimes depend on various kinds of labor to produce the effect of bordering. The current retrofitting and technological remediation of borders suggests their transformation away from static demarcators of hard territorial boundaries toward much more sophisticated, flexible, and mobile devices of tracking, filtration, and exclusion. Borders require the labor of software developers, designers, engineers, infrastructure builders, border guards, systems experts, and many others who produce the ""smart border""; but they also depend on the labor of ""data-ready"" travelers who produce themselves at the border, as well as the underground labor of those who traffic in informal and illegalized economies across such borders. Bordering increasingly relies on technological forms of mediation that are embedded within hi-tech, military and private corporate logics, but are also resisted by electronic and physical ""hacks"" or bypassing of informational and infrastructural architectures. In this paper we consider three socio-technological assemblages of the border, and the labor which makes and unmakes them: (1) the interlocking ""cyber-mobilities"" of contemporary airports including visual technologies for baggage, cargo, and passenger inspection, as well as information technologies for passenger dataveillance, air traffic control, and human resource systems; (2) the development of the Schengen Information System database of the EU, and its implications for wider migrant rights and internal mobility within the EU, as well as radical border media that have attempted to intervene in that border space; and (3) elements of the US-Mexico ""smart border"" regime known as the Secure Border Initiative Network (2006-2011), and those who have tried to tactically evade, disrupt, or undermine the working of this border. © 2013 Copyright Taylor and Francis Group, LLC.","bio-informatics; mobility; security; smart border; tactical media",,"Vukov, T.; Department of Communication, , Quebec, Canada; email: tamara.vukov@umontreal.ca",,,10350330,,,,"English","Soc. Semiot",Article,"Final","",Scopus,2-s2.0-84878145168
"Scheel S.","55762175200;","Autonomy of Migration Despite Its Securitisation? Facing the Terms and Conditions of Biometric Rebordering",2013,"Millennium: Journal of International Studies","41","3",,"575","600",,60,"10.1177/0305829813484186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878871306&doi=10.1177%2f0305829813484186&partnerID=40&md5=4298d03a540dc968e4be56ff25871bbf","Department of Political and International Studies (POLIS), Faculty of Social Sciences, The Open University, Walton Hall, Milton Keynes MK7 6AA, United Kingdom","Scheel, S., Department of Political and International Studies (POLIS), Faculty of Social Sciences, The Open University, Walton Hall, Milton Keynes MK7 6AA, United Kingdom","This article reconsiders the concept of autonomy of migration in the context of technologically ever-more sophisticated border regimes by focusing on the case of biometric rebordering. As its name suggests, the concept of autonomy of migration's core thesis proposes that migratory movements yield moments of autonomy in regards to any attempt to control and regulate them. Yet, the concept of autonomy of migration has been repeatedly accused of being based on and contributing to a romanticisation of migration. After outlining two advantages the concept of autonomy of migration offers for the analysis of biometric border regimes, I demonstrate that processes of biometric rebordering increase the warranty of the two allegations, which feed this major critique. Drawing on examples relating to the Visa Information System, I show that processes of biometric rebordering alter the practical terms and material conditions for moments of autonomy of migration to such an extent that it becomes necessary to rethink not only some of the concept of autonomy of migration's central features, but the notion of autonomy itself. In the final section, I therefore point out some directions to develop the concept of autonomy of migration as an approach, which is better equipped to investigate today's struggles of migration without being prone to the critique of implicating a romanticisation of migration. © The Author(s) 2013.","Autonomy of migration; biometric rebordering; securitisation; security dispositif; situated knowledge",,"Scheel, S.; Department of Political and International Studies (POLIS), Walton Hall, Milton Keynes MK7 6AA, United Kingdom; email: stephan.scheel@open.ac.uk",,,03058298,,,,"English","Millennium J. Int. Stud.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84878871306
"Dóczi Z.","55753415900;","The development, the integration and the assessment of the existing large-scale IT systems in the area of freedom, security and justice",2013,"Acta Juridica Hungarica","54","2",,"164","183",,,"10.1556/AJur.54.2013.2.4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878434229&doi=10.1556%2fAJur.54.2013.2.4&partnerID=40&md5=f1d5f222bf328bf188029114e1b130db","Corvinus University of Budapest, Faculty of Social Sciences, Institute for International Studies, Közraktár u. 4-6, H-1093 Budapest, Hungary","Dóczi, Z., Corvinus University of Budapest, Faculty of Social Sciences, Institute for International Studies, Közraktár u. 4-6, H-1093 Budapest, Hungary","The abolishment of the internal border checks and the common procedures at the external borders fosters the decision-making of the European Union to establish large-scale IT systems in the area of freedom, security and justice. The decrease of the security deficit by the control of immigration flow consists of three endeavours: the common border control policy, the common visa policy and the common asylum policy. The aim of this paper is to analyse and evaluate the development of the operational management of large-scale IT systems in the area of freedom, security and justice. The development process of these systems is not more than their integration into the so-called IT Agency. This new regulatory agency was established in January 2012. It has merged the operational management tasks of the further developed version of SIS (the SIS II), VIS and EURODAC and it is flexible to add other existing and potential new systems. Hence, the added-value of the IT Agency is to be assessed, since new technologies shall be harnessed to meet the requirements of enhancing security and facilitating travel at the external borders.","facilitate travel; information power; large-scale IT systems; Schengen; security deficit",,"Dóczi, Z.; Corvinus University of Budapest, Közraktár u. 4-6, H-1093 Budapest, Hungary",,,12162574,,,,"English","Acta Juridica Hung.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84878434229
"Ajana B.","57204228752;","Asylum, identity management and biometric control",2013,"Journal of Refugee Studies","26","4","fet030","576","595",,28,"10.1093/jrs/fet030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889009974&doi=10.1093%2fjrs%2ffet030&partnerID=40&md5=58abb173818fdf7ed99d9577aec919bf","Department of Culture, Media and Creative Industries, King's College London, United Kingdom","Ajana, B., Department of Culture, Media and Creative Industries, King's College London, United Kingdom","The article addresses a particular aspect of the relationship between asylum issues and information and communication technologies (ICTs), namely the deployment and 'function creep' of biometrics within the field of asylum management. Current debates on this issue have been largely restricted to a technologically determinist approach that reduces the focus to problems of data misuse and privacy, precluding other pertinent ethical and political concerns. In response, the article engages with Giorgio Agamben's elaborations on the concepts of biopolitics and exception as an alternative way of analysing the use of biometric technology in the governance of forced migrants. It begins with a critical overview of Agamben's conceptualization of biopolitics and the state of exception. It then considers the Eurodac database and the UK's asylum Application Registration Cards as examples to demonstrate how current policies of immigration control and border management are implicated in the logic of exception. It argues that illiberal practices, such as biometric profiling and fingerprinting of asylum seekers and their incarceration in detention centres, are being enforced upon certain groups in ways that render their exclusion from the official juridico-political structure as an 'inclusive exclusion'. Importantly, the function creep of biometrics is not to be understood as the turning of exception into the rule in a somewhat homogenous way, but more as a polysemic process, which involves different forms of discipline and control that are irreducible to one singular paradigm. © The Author 2013.Published by Oxford University Press.All rights reserved.","Agamben; Asylum; Biometrics; Biopolitics; ICTs; Refugees","asylum seeker; biometry; immigration policy; information and communication technology; national identity; political integration; refugee; social exclusion; United Kingdom","Ajana, B.; Department of Culture, United Kingdom; email: btihaj.ajana@kcl.ac.uk",,,09516328,,,,"English","J. Refugee Stud.",Article,"Final","",Scopus,2-s2.0-84889009974
"GruodytĖ E., Bilius M.","36172564200;55835957300;","Investigating cybercrimes: Theoretical and practical issues",2014,"Regulating Etechnologies in the European Union: Normative Realities and Trends",,,,"217","250",,,"10.1007/978-3-319-08117-5_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955659624&doi=10.1007%2f978-3-319-08117-5_11&partnerID=40&md5=ab88b5e13d6638ff2a83576c1d00c4ea","Law Faculty, Vytautas Magnus University, E.Ožeškienės St. 18, Kaunas, 44254, Lithuania","GruodytĖ, E., Law Faculty, Vytautas Magnus University, E.Ožeškienės St. 18, Kaunas, 44254, Lithuania; Bilius, M., Law Faculty, Vytautas Magnus University, E.Ožeškienės St. 18, Kaunas, 44254, Lithuania","Communication technologies play an important role in society. Global cybercrime is one of the biggest underworld industries, much of this crime is unreported, new forms of crimes occur. In the light of the new EU Directive (2013/40/EU of the European Parliament and of The Council on attacks against information systems and replacing Council Framework Decision 2005/222/JHA), the authors of the Article discuss if and how the new instrument helps to solve some of the aforementioned problems. The first part of the Article presents systemic and historic evaluation of the EU cybercrime policy in comparison with the Convention on Cybercrime. The second and third parts of the Article focus on two specific issues related to cybercrimes. The second part evaluates changes in the material criminal law introduced by the new Directive and their effectiveness in resolving the issue of harmonization. The last part of the paper is answering if introduced procedural changes are successful in providing framework of law enforcement cooperation and capacity to investigate. © Springer International Publishing Switzerland 2014.",,,"Gruodyt Ė, E.; Law Faculty, E.Ožeškienės St. 18, Lithuania; email: e.gruodyte@tf.vdu.lt",,"Springer International Publishing",,9783319081175; 9783319081168,,,"English","Regulating Etechnologies in the European Union: Normative Realities and Trends",Book Chapter,"Final","",Scopus,2-s2.0-84955659624
"Hobolth M.","55786832100;","Researching Mobility Barriers: The European Visa Database",2014,"Journal of Ethnic and Migration Studies","40","3",,"424","435",,17,"10.1080/1369183X.2013.830886","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890794350&doi=10.1080%2f1369183X.2013.830886&partnerID=40&md5=1f4447841f83d22981ed70efc0506075","London School of Economics and Political Science, United Kingdom","Hobolth, M., London School of Economics and Political Science, United Kingdom","This research note introduces a new European Visa Database of relevance to analysts interested in exploring and explaining causes and consequences of contemporary policy barriers to mobility. It outlines the existing research, positions the empirics in this context and sets out how the database was constructed. Selected statistics on the EU and the USA are also presented. The dataset measures three key dimensions of mobility regimes: visa requirements, consular coverage abroad and issuing practices. It contains data on the EU-Schengen states in the period 2005-2012 for all third countries abroad, and similar but less extensive information on the UK and the USA. Hitherto, this material has not been available in a format easily amenable for research. The database collects and presents the public government data in a systematised and readily viewable form, thereby reducing entry barriers for future studies of migration control. It also contains a Mobility Barriers Index providing restrictiveness scores taking all three dimensions into account. The database thus seeks to facilitate and encourage further quantitative inquiry into mobility barriers, and provides a tool for qualitative researchers to contextualise their findings in a wider case universe. © 2013 Taylor & Francis.","Database; EU; Migration; Mobility; Schengen; Visa","database; European Union; international migration; mobility; United Kingdom; United States","Hobolth, M.; European Institute, Houghton Street, WC2 2AE, United Kingdom; email: m.h.hobolth@lse.ac.uk",,,1369183X,,,,"English","J. Ethn. Migr. Stud.",Article,"Final","",Scopus,2-s2.0-84890794350
