Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Sacco P., Muscolo F., Codispoti G., Tuozzi A.","56513557000;57203368632;6507661149;6507306543;","Challenges and benefits of Space Technologies application in the Integrated Maritime Surveillance: The EUCISE2020 project",2019,"Proceedings of the International Astronautical Congress, IAC","2019-October",,"IAC-19_B1_5_4_x49945","","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079143333&partnerID=40&md5=483437060b4c414b0236f31b2ba17097","Telecommunication and Navigation Division, Italian Space Agency, Via del Politecnico s.n.c., Rome, 00133, Italy","Sacco, P., Telecommunication and Navigation Division, Italian Space Agency, Via del Politecnico s.n.c., Rome, 00133, Italy; Muscolo, F., Telecommunication and Navigation Division, Italian Space Agency, Via del Politecnico s.n.c., Rome, 00133, Italy; Codispoti, G., Telecommunication and Navigation Division, Italian Space Agency, Via del Politecnico s.n.c., Rome, 00133, Italy; Tuozzi, A., Telecommunication and Navigation Division, Italian Space Agency, Via del Politecnico s.n.c., Rome, 00133, Italy","Since 2010, the European Union launched the Integrated Maritime Policy (IMP) to promote a sustainable growth, the Blue Growth Strategy, in the marine and maritime sectors. A pillar of the IMP is the common environment of Integrated Maritime Surveillance, to improve the exchange of information among the national authorities of the operational sectors involved (transport, environmental protection, fisheries control, border control, application of the general law, customs and defense). CISE (Common Information Sharing Environment) is therefore a fundamental pillar of the European Integrated Maritime Policy and an element of the Action Plan of the European Maritime Security Strategy. CISE represents the collaborative environment on a voluntary basis among the Member States of the European Union, to achieve ""a more interoperable surveillance system to bring together existing monitoring and tracking systems used for maritime safety and security, protection of the marine environment, fisheries control, control of external borders and other law enforcement activities"". CISE implements a decentralized European environment of informative cooperation among all user communities, both civilian and military, at cross-sectoral and cross-border level, including EU agencies, developing an interoperable and information-sharing network powered by information flows coming from National and European information systems in force. This paper aims to investigate and describe the advantages and the capabilities that can be reached with an integrated use of currently in-orbit Earth Observation Systems, with traditional existing systems for the specific application of Maritime Surveillance. Copyright © 2019 by the International Astronautical Federation (IAF). All rights reserved.","EUCISE2020; Information Sharing; Integrated Maritime Policy; Satellite services","Environmental regulations; Fisheries; Information analysis; Interoperability; Monitoring; Orbits; Sustainable development; Waterway transportation; Collaborative environments; Earth observation systems; EUCISE2020; Exchange of information; Information sharing; Information sharing network; Monitoring and tracking; Satellite services; Information dissemination",Conference Paper,"Final","",Scopus,2-s2.0-85079143333
"Mahamut R.G., Cordero J.V.","56151736800;57533846600;","The protection of asylum seeker's personal data in the (new) european common asylum system: Major challenges and serious shortcomings [La protección de los datos personales de los solicitantes de protección internacional en el (Nuevo) sistema europeo común de asilo: Grandes desafíos y graves deficiencias]",2019,"Teoria y Realidad Constitucional",,"44",,"237","270",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076594366&partnerID=40&md5=e695254814fe731b73610c43828fe3ef","University Jaume, Spain; Universitat Jaume I, Spain","Mahamut, R.G., University Jaume, Spain; Cordero, J.V., Universitat Jaume I, Spain","The present work addresses an innovative legal analysis on the treatment and protection of personal data about asylum and subsidiary protection seekers in the comprehensive reform of the Common European Asylum System (CEAS). This reform, among other countless aspects, has increased the effective EU Information Management as the key to protect external borders, improve the management of migration flows and contribute to the enhancement of internal security. The applicable data protection legislation is significantly fragmented, complex and diffuse since, despite the GDPR excludes from its scope asylum-related activities, border control, and immigration is directly defined in the proposed Dublin IV, Procedures and Eurodac regulations. At the same time, the persistent linkages to the security of Member States can reflect the potential application of the Data Protection Directive on Police Matters. In addition, the interoperability of different information systems, the deployment of specific bodies (such as Frontex or EASO) as well as law enforcement authorities are bound directly by their own regulations. Consequently, this fragmented and particularly complex legal framework constitutes the subject of the study. © 2019 Universidad Nacional de Educacion a Distancia.","Border security; CEAS reform; Data protection directive in in police matters; Dublin iv system; General data protection regulation; international protection; Protection and processing of asylum seekers personal data; Refugees; Subsidiary protection; UNHCR",,Article,"Final","",Scopus,2-s2.0-85076594366
"Segura D.S.M.","57211462863;","The logic of border governance in the Schengen Area: Borders as striation [Las lógicas de gobierno de lo fronterizo en el espacio Schengen: La frontera como estriación]",2019,"Revista CIDOB d'Afers Internacionals",,"122",,"15","38",,,"10.24241/rcai.2019.122.2.15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074021410&doi=10.24241%2frcai.2019.122.2.15&partnerID=40&md5=a7c96c0bbe4bcf25fcb2f6e9715164b3","Universidad de La Rioja, Spain","Segura, D.S.M., Universidad de La Rioja, Spain","This paper proposes a reflection on borders that considers its operability as a governance space. This reading means transcending the territorial aspect of a border - and its sense of sovereign affirmation - and looking at its functionality in terms of circulation being a matter for government, in what should be called the border's biopolitical decline. In this sense, government practices that define the border may be read in terms of the striation of space rather than the containment of a territory. The governance problem the border poses is one of reconciling porousness and selectivity. This encourages the construction of ""smart borders"" via innovations of a technological nature that essentially focus on the filtering capabilities of actuarial and biometric techniques. The paper addresses the transformations of this kind noted in the Schengen Area. © 2019, CIDOB (Barcelona centre for international affairs).","Border administration; European Union; Government; Mobility; Schengen Area; Smart border",,Article,"Final","",Scopus,2-s2.0-85074021410
"Scheel S.","55762175200;","Autonomy of migration? Appropriating mobility within biometric border regimes",2019,"Autonomy of Migration?: Appropriating Mobility within Biometric Border Regimes",,,,"1","230",,39,"10.4324/9781315269030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068407605&doi=10.4324%2f9781315269030&partnerID=40&md5=4b5f7c66a71020f675718608eb44be88","Sociology department, University of Duisburg-Essen, Germany","Scheel, S., Sociology department, University of Duisburg-Essen, Germany","Examining how migrants appropriate mobility in the context of biometric border controls, this volume mobilises new analytics and empirics in the debates about the politics of migration and provides an analytically effective and politically significant tool for the study of contemporary migration. Drawing from the tension between the EU’s attempt to achieve watertight border controls by means of biometric technologies, and migrants’ persistence to move to and live in the EU, the volume pursues two interrelated objectives: first, it studies the encounters between migrants and the Visa Information System (VIS), one of the largest biometric databases in the world, from the perspective of mobility in order to investigate how migrants appropriate mobility via Schengen visa within and against this biometric border regime. Second, it addresses criticisms of autonomy of migration in order to develop it as a viable approach for border, migration and critical security studies. Hence, the book is driven by two interrelated research questions: what does the assertion of moments of autonomy of migration refer to in the context of border regimes that use biometrics to turn migrants’ bodies into a means of mobility control? And how do migrants appropriate mobility via Schengen visa within and against biometric border regimes? This book will be of great interest to scholars in border, migration and critical security studies, as well as researchers engaged in citizenship studies, surveillance studies, political theory, critical IR theory and international political sociology. © 2019 Stephan Scheel.",,,Book,"Final","",Scopus,2-s2.0-85068407605
"Kulju M., Ylikauppila M., Toivonen S., Salmela L.","24483582900;55977713700;55972478500;57205398223;","A framework for understanding human factors issues in border control automation",2019,"IFIP Advances in Information and Communication Technology","544",,,"215","228",,2,"10.1007/978-3-030-05297-3_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059887371&doi=10.1007%2f978-3-030-05297-3_15&partnerID=40&md5=d3b29ba0fecd95095c69669aeabe2aa2","VTT, Visiokatu 4, Tampere, 33720, Finland","Kulju, M., VTT, Visiokatu 4, Tampere, 33720, Finland; Ylikauppila, M., VTT, Visiokatu 4, Tampere, 33720, Finland; Toivonen, S., VTT, Visiokatu 4, Tampere, 33720, Finland; Salmela, L., VTT, Visiokatu 4, Tampere, 33720, Finland","New security threats and increasing traveler flows as well as needs to enhance facilitation and security in EU external cross-border traffic have accelerated the use of novel technologies in border control. Especially at airports, automated border control, more commonly known as e-gates, have been taken widely into use. With e-gates, travelers perform border check as self-service, and the role of the border guards is to monitor or possibly also assist travelers passing the border. The introduction of automated systems significantly reshapes current ways of conducting border control from the border guard’s perspective, and automation thus requires new skills from them. Understanding the effects of automation on the work tasks and work performance of border guards requires thorough examination. This paper introduces key Human Factors issues affecting border guard and border control system performance. The results are based on literature review and field studies conducted in different border control points within six European countries. The paper presents a Human Factors framework for understanding the complex nature of the border control and different factors influencing to both border control process and border guard performance within it. © IFIP International Federation for Information Processing 2019.","Automated border control; Border digitalization; EU; Human factors; Human factors framework; Schengen area","Europium; Human engineering; Automated systems; Border control; Border digitalization; Cross-border traffic; European Countries; Literature reviews; Schengen area; Work performance; Automation",Conference Paper,"Final","",Scopus,2-s2.0-85059887371
"Sontowski S.","57197830919;","Speed, timing and duration: contested temporalities, techno-political controversies and the emergence of the EU’s smart border",2018,"Journal of Ethnic and Migration Studies","44","16",,"2730","2746",,26,"10.1080/1369183X.2017.1401512","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035140474&doi=10.1080%2f1369183X.2017.1401512&partnerID=40&md5=18a8502b763843c562cb5b7f1c08165e","Department of Geography, University of Zurich, Zurich, Switzerland","Sontowski, S., Department of Geography, University of Zurich, Zurich, Switzerland","Practices of border control increasingly rely on digital biometrics in order to sort and filter cross-border movements. But while its effects are well examined in migration and border studies, less is known about the intricate ways in which biometric bordering is politically negotiated and socio-technically put into practice. Therefore, in this paper, I trace the contested emergence of one particular scheme of biometric border control currently in the making: the EU’s Smart Borders Package. Proposed by the European Commission in 2013, it aims at digitally registering all third-country nationals’ entries to and exits from the Schengen area, while simultaneously accelerating the border crossing of certain travellers. I argue that, unlike other forms of biometric bordering, the Smart Borders Package problematises border control primarily on the level of its temporalities and constitutes the speed of border crossings, the timing of control as well as third-country nationals’ duration of stay as distinct objects of governing. Meanwhile, the project’s political negotiations have sparked techno-political controversies that repeatedly brought it to the brink of failure. Yet, these controversies have significantly enhanced the intelligibility and practicability of biometric bordering, contributing to the emergence of what I call the self-service border. © 2017, © 2017 Informa UK Limited, trading as Taylor & Francis Group.","Biometrics; border control; EU smart border; technology; temporality","biometry; border region; European Union; immigration policy; international migration; technology adoption; Europe",Article,"Final","",Scopus,2-s2.0-85035140474
"Møhl P.","57215968827;","Border control and blurred responsibilities at the airport",2018,"Security Blurs: The Politics of Plural Security Provision",,,,"118","135",,2,"10.4324/9781351127387-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082497153&doi=10.4324%2f9781351127387-8&partnerID=40&md5=2d484d0c1171bbf3cc45b5fcf90f2b07",,"Møhl, P.","Based on fieldwork with the Border Police unit in Copenhagen Airport, this chapter describes the security blurs that arise when, for one, facial recognition technology takes over the work of sorting travellers and, secondly, individual officers decide whom to inspect during random checks on intra-European flights. In both cases, the chapter argues, the processes of decision-making and the allocation of responsibilities for border security are blurred and rendered uncontrollable by delocalising and individuating the border, respectively into the machine and into the individual border guard. © 2019 selection and editorial matter, Tessa Diphoorn and Erella Grassiani.",,,Book Chapter,"Final","",Scopus,2-s2.0-85082497153
"Lisle D.","8838970800;","Failing worse? Science, security and the birth of a border technology",2018,"European Journal of International Relations","24","4",,"887","910",,22,"10.1177/1354066117738854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046008324&doi=10.1177%2f1354066117738854&partnerID=40&md5=4c595c43c51fe39bbcae55f1df5401ea","Queen’s University Belfast, United Kingdom","Lisle, D., Queen’s University Belfast, United Kingdom","Despite increased attention, investment and research, the security technologies deployed at sovereign borders often fail to ‘properly’ distinguish between safe and dangerous travellers and goods. This article transposes on-site border malfunctions into the antecedent register of research and development in order to explore how failure operates in the design, construction and testing of a border security technology. Drawing from extensive ethnographic research of a European-wide project to develop the Handhold portable chemical, biological, radiological, nuclear and explosive (CBRNE) detector, this article traces how failure is mobilized as an instructive experience in the professional cultures of science, engineering and governance, and retrospectively narrated as a necessary step on the road to eventual success. In exploring the limitations of this understanding, the article demonstrates how competing experiences of failure constantly trouble the daily routines of scientists and engineers, shape informal de-risking strategies, and fuel the relentless pursuit of innovation. To contest the dominant account of failure as an instructive experience, the article argues that more creative and critical research into the heterogeneous life-worlds of failure is needed in order to politicize the consequences of border failures and connect them to the antecedent register of scientific research and development. © The Author(s) 2017.","Borders; failure; innovation; risk; security; technology",,Article,"Final","",Scopus,2-s2.0-85046008324
"Fontana C.L., Lunardon M., Pino F.E., Stevanato L., Carnera A., Sada C., Soramel F., Moretto S.","36968452800;8958357100;23035981700;36246707700;7004671611;57193519949;7003847870;6602710601;","A distributed data acquisition system for signal digitizers with on-line analysis capabilities",2018,"2017 IEEE Nuclear Science Symposium and Medical Imaging Conference, NSS/MIC 2017 - Conference Proceedings",,,"8533063","","",,6,"10.1109/NSSMIC.2017.8533063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058490428&doi=10.1109%2fNSSMIC.2017.8533063&partnerID=40&md5=c346400daa9cccd8a81c89aed093de26","Deparment of Physics and Astronomy 'Galileo Galilei', University of Padova, Padova, I-35131, Italy","Fontana, C.L., Deparment of Physics and Astronomy 'Galileo Galilei', University of Padova, Padova, I-35131, Italy; Lunardon, M., Deparment of Physics and Astronomy 'Galileo Galilei', University of Padova, Padova, I-35131, Italy; Pino, F.E., Deparment of Physics and Astronomy 'Galileo Galilei', University of Padova, Padova, I-35131, Italy; Stevanato, L., Deparment of Physics and Astronomy 'Galileo Galilei', University of Padova, Padova, I-35131, Italy; Carnera, A., Deparment of Physics and Astronomy 'Galileo Galilei', University of Padova, Padova, I-35131, Italy; Sada, C., Deparment of Physics and Astronomy 'Galileo Galilei', University of Padova, Padova, I-35131, Italy; Soramel, F., Deparment of Physics and Astronomy 'Galileo Galilei', University of Padova, Padova, I-35131, Italy; Moretto, S., Deparment of Physics and Astronomy 'Galileo Galilei', University of Padova, Padova, I-35131, Italy","In this article we present a distributed Data Acquisition (DAQ) system developed for the C-BORD project [1], [2]. Many examples of DAQ systems are monolithic processes that run on a computer attached to the DAQ hardware. In this new DAQ, a different process is assigned to each task of the system (e.g. data acquisition, pre-processing, analysis, high-voltage management...). The communication between the processes is obtained through dedicated communication sockets. An important advantage of this approach is the possibility to distribute the system over several computers connected in a network, in order to distribute the computational load. The distributed nature of the system allows also the implementation of on-line data analysis processes that can be computationally intensive. Moreover the system is very versatile, as the different tasks can be dynamically activated or disabled, and robust, since a failure of one of the processes does not jeopardize the whole system. The system has been used in the project to acquire the data generated by fast signal digitizers. Excellent results were obtained, both in terms of performance (e.g. maximum acquisition rates) and stability. The project entitled 'effective Container inspection at BORDer control points' (C-BORD) is funded by the European H2020 program. Its aim is to develop a comprehensive set of technologies for the generalized Non-Intrusive Inspection (NII) of containers and large-volume freight at the EU border. © 2017 IEEE.","C-BORD; Digitizer; Distributed DAQ","C (programming language); Computer hardware; Containers; Data acquisition; Information management; Medical imaging; Signal processing; Acquisition rates; Computational loads; Container inspection; Digitizers; Distributed DAQ; Distributed data acquisition; Non-intrusive inspection; On-line analysis; Distributed computer systems",Conference Paper,"Final","",Scopus,2-s2.0-85058490428
"Fragapane S., Minaldi G.","57191570649;57196079513;","Migration policies and digital technologies in Europe: a comparison between Italy and Spain",2018,"Journal of European Integration","40","7",,"905","921",,5,"10.1080/07036337.2018.1482289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048358993&doi=10.1080%2f07036337.2018.1482289&partnerID=40&md5=2448807c227e11be80aa3bad0a70c2af","University of Enna “Kore”, Enna, Italy","Fragapane, S., University of Enna “Kore”, Enna, Italy; Minaldi, G., University of Enna “Kore”, Enna, Italy","This paper analyses the connection between European migration policies and digital technologies, with a look at the significant changes that have affected the formation and meaning of borders on the continent. Particular attention is paid to the primary digital surveillance systems (SIS II, VIS, EURODAC) in Italy and Spain, importantly ‘Europe’s gatekeepers’ over the last decade. The results of the research contradict the thesis that there is persistence non-compliance with surveillance systems in the Southern European member states, and also highlight important areas of divergence between the two countries’ migration policy pathways. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.","Communitarization; digital surveillance systems; Italy; southern european migration model; Spain",,Article,"Final","",Scopus,2-s2.0-85048358993
"Koslowski R., Schulzke M.","6603800261;35746890600;","Drones along borders: Border security UAVs in the United States and the European Union",2018,"International Studies Perspectives","19","4",,"305","324",,17,"10.1093/isp/eky002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059038740&doi=10.1093%2fisp%2feky002&partnerID=40&md5=2e2670cb188a806f0e95609ce62779be","State University of New York, Albany, United States; University of York, United Kingdom","Koslowski, R., State University of New York, Albany, United States; Schulzke, M., University of York, United Kingdom","This article examines the complex security landscape that is unfolding as states deploy military drones for border security and non-state actors with sharply diverging motives develop their own drone surveillance capacities. We argue that border security drones have contrary political, policy, and ethical implications. First, the encroachment of military technologies into non-military security operations may have adverse security repercussions, but drones may also save migrants' lives as they make dangerous journeys through deserts and across rough seas. Second, drone surveillance erodes privacy but also creates new accountability mechanisms. Finally, drones may obviate some visible signs of security, such as fences, while also introducing an invisible security apparatus that extends beyond state boundaries. These contradictory effects help to explain the complex policy formation processes underlying drone border security programs in the United States and Europe, as well as the challenge of reaching clear answers about whether drone security is desirable. © The Author(s) (2018). Published by Oxford University Press on behalf of the International Studies Association. All rights reserved.Este artículo analiza el complejo panorama de seguridad que se está desarrollando debido a los drones militares que utilizan los estados para vigilar las fronteras y al hecho de que actores no estatales con motivaciones marcadamente distintas están desarrollando sus propios sistemas de vigilancia con drones. Afirmamos que los drones destinados a la vigilancia de las fronteras tienen implicaciones políticas, éticas y reglamentarias opuestas. En primer lugar, la intrusión de las tecnologías militares en las operaciones de seguridad no militares puede tener repercusiones negativas en materia de seguridad, pero al mismo tiempo, los drones pueden salvar las vidas de los inmigrantes que emprenden un peligroso viaje en el que cruzan desiertos y mares embravecidos. En segundo lugar, la vigilancia con drones reduce la privacidad, pero también permite crear nuevos mecanismos de responsabilidad. Por último, los drones pueden pasar por alto señales visibles de seguridad, como las vallas, a la vez que introducen un sistema de vigilancia invisible que va más allá de las fronteras nacionales. Estos efectos contradictorios ayudan a explicar los complejos procesos de creación de políticas que están detrás de los programas de vigilancia de las fronteras con drones de Estados Unidos y Europa, así como el desafío de obtener respuestas claras acerca de la idoneidad de la seguridad con drones. © The Author(s) (2018). Published by Oxford University Press on behalf of the International Studies Association. All rights reserved.","Border; Drones; Migration; Security; UAV",,Article,"Final","",Scopus,2-s2.0-85059038740
"Salmela L., Toivonen S., Kulju M., Ylikauppila M.","57205398223;55972478500;24483582900;55977713700;","Digital transformation in border checks: Mapping border guard training in automated processes",2018,"Proceedings - 2018 European Intelligence and Security Informatics Conference, EISIC 2018",,,"8753059","61","64",,,"10.1109/EISIC.2018.00017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069452208&doi=10.1109%2fEISIC.2018.00017&partnerID=40&md5=e6e639e16778754b651487f01a1c6de0","Risk and Asset Management, VTT Technical Research Centre of Finland, Tampere, Finland; Humans and System Dynamics, VTT Technical Research Centre of Finland, Tampere, Finland","Salmela, L., Risk and Asset Management, VTT Technical Research Centre of Finland, Tampere, Finland; Toivonen, S., Risk and Asset Management, VTT Technical Research Centre of Finland, Tampere, Finland; Kulju, M., Humans and System Dynamics, VTT Technical Research Centre of Finland, Tampere, Finland; Ylikauppila, M., Humans and System Dynamics, VTT Technical Research Centre of Finland, Tampere, Finland","Automated border control represents one area in the digital transformation of border control. It is gradually becoming a commonplace particularly at air borders, where the concept of self-service has had the strongest business case also in other steps of the passenger's journey, such as check-in or baggage drop. Besides providing a means to enhance efficiency and security in passenger clearing processes, the new technology significantly reshapes current ways of conducting border checks from employee perspective. Successful implementation of automated border check technologies thus demands border organizations to equip their workforce with new skills and remodel existing ones. This paper presents a preliminary analysis on current technology training of border guards and assesses its effects on how the new technology is received among employees at the frontline. The results are based on field studies conducted in five EU member states. The study loosely applies a Technology Training Model that extends traditional Technology Acceptance Model by incorporating training as an additional variable to explain employee intention to use new technology. © 2018 IEEE.","automated border control; digital transformation; technology acceptance; technology training","Automation; E-learning; Automated process; Border control; Digital transformation; Intention to use; Preliminary analysis; Technology acceptance; Technology acceptance model; Technology training; Personnel training",Conference Paper,"Final","",Scopus,2-s2.0-85069452208
"Marten A.-K., Akmatov V., Sørensen T.B., Stornowski R., Westermann D., Brosinsky C.","55512446600;57204012768;57204317199;57189074068;35243923700;57191879257;","Kriegers flak-combined grid solution: Coordinated cross-border control of a meshed HVAC/HVDC offshore wind power grid",2018,"IET Renewable Power Generation","12","13",,"1493","1499",,9,"10.1049/iet-rpg.2017.0792","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054053859&doi=10.1049%2fiet-rpg.2017.0792&partnerID=40&md5=e8eac6fa3b7cbfa192bf90ae2766073e","50Hertz Transmission GmbH, Heidestraße 2, Berlin, Germany; ENERGINET, Tonne Kjaersvej 65, Fredericia, Denmark; Power Systems Group, Technische Universität Ilmenau, Gustav-Kirchhoffstrasse 1, Ilmenau, Germany","Marten, A.-K., 50Hertz Transmission GmbH, Heidestraße 2, Berlin, Germany; Akmatov, V., ENERGINET, Tonne Kjaersvej 65, Fredericia, Denmark; Sørensen, T.B., ENERGINET, Tonne Kjaersvej 65, Fredericia, Denmark; Stornowski, R., 50Hertz Transmission GmbH, Heidestraße 2, Berlin, Germany; Westermann, D., Power Systems Group, Technische Universität Ilmenau, Gustav-Kirchhoffstrasse 1, Ilmenau, Germany; Brosinsky, C., Power Systems Group, Technische Universität Ilmenau, Gustav-Kirchhoffstrasse 1, Ilmenau, Germany","The Kriegers Flak combined grid solution (KF CGS) will interconnect the eastern synchronous area of Denmark and Germany by extending the existing high-voltage alternating current (HVAC) offshore wind farm infrastructure in the Baltic Sea. In contrast to conventional point-to-point interconnectors, the extension creates a meshed submarine grid (MSG) which includes an interconnector and wind farm collectors to the countries using the same equipment. Denmark East as part of the Nordic system and 50 Hertz as part of the synchronous Continental European grid are asynchronous to each other, which makes a frequency transformation necessary. The interconnection will be realised by a high-voltage direct current (HVDC) back-to-back (BtB) converter in voltage source converter technology located at the German end of the interconnector. The BtB and the entire HVAC MSG between Denmark and Germany will be controlled by a so-called master controller for interconnector operation (MIO). The KF CGS will integrate offshore wind power generation, increase the security of supply and enhance integration of regionally produced renewable energy. This study describes the overall infrastructure of the KF CGS and the MIO functions. A model-based evaluation of those shows the behaviour of the HVAC/HVDC MSG in normal operation and in the case of contingencies. © 2018 Institution of Engineering and Technology.",,"Electric power generation; Electric power system control; Electric power system interconnection; Electric utilities; HVDC power transmission; Offshore oil well production; Offshore wind farms; Power converters; Alternating current; Frequency transformations; High voltage direct current; Model-based evaluation; Off-shore wind power; Off-shore wind power generations; Security of supply; Voltage source converters; Electric power transmission networks",Article,"Final","",Scopus,2-s2.0-85054053859
"Jumbert M.G.","55788445500;","Control or rescue at sea? Aims and limits of border surveillance technologies in the Mediterranean Sea",2018,"Disasters","42","4",,"674","696",,8,"10.1111/disa.12286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043233832&doi=10.1111%2fdisa.12286&partnerID=40&md5=01794ecf8f9de9b0af09c12110efdaa9","Research Director and Senior Researcher, Peace Research Institute Oslo, Norway","Jumbert, M.G., Research Director and Senior Researcher, Peace Research Institute Oslo, Norway","The matter of boat migrants crossing the Mediterranean Sea, seeking to reach Europe, is interchangeably defined as a ‘security issue', requiring stricter border controls, and as a humanitarian issue with corresponding rescue and protection requirements. This paper seeks to understand what role various surveillance technologies, such as radar, satellites, and unmanned aerial vehicles, can play in this respect (legally and technically), in comparison to the role that they are assigned (that is, political expectations). To unravel what surveillance technologies can and cannot do vis-à-vis the aims of control and rescue, there is a need to comprehend what information can be collected and what information is needed to fulfil these objectives. The paper contends that there is a mismatch between the information sought to ‘control’ borders, but which cannot be gathered effectively by or processed using surveillance technologies, and the valuable information needed to perform rescue operations, which these surveillance technologies can supply. © 2018 The Author(s). Disasters © Overseas Development Institute, 2018","border control; humanitarian; Mediterranean; migrants; refugees; search and rescue; surveillance technologies","border region; humanitarian aid; immigrant population; information technology; radar; refugee; satellite sensor; search and rescue; surveillance and enforcement; unmanned vehicle; Europe; Mediterranean Sea; human; Mediterranean Sea; migration; organization and management; rescue work; ship; Humans; Mediterranean Sea; Rescue Work; Security Measures; Ships; Transients and Migrants",Article,"Final","",Scopus,2-s2.0-85043233832
"Fisher D.X.O.","57202223001;","Situating Border Control: Unpacking Spain's SIVE border surveillance assemblage",2018,"Political Geography","65",,,"67","76",,11,"10.1016/j.polgeo.2018.04.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047465821&doi=10.1016%2fj.polgeo.2018.04.005&partnerID=40&md5=f4b2a84519799e6904680d9eff0caa02","The University of Exeter, Department of Geography, Amory Building, Rennes Drive, Exeter, EX4 4RJ, United Kingdom","Fisher, D.X.O., The University of Exeter, Department of Geography, Amory Building, Rennes Drive, Exeter, EX4 4RJ, United Kingdom","This article builds on the ‘practice turn’ in border studies by critically engaging assemblage theory as a means of unboxing European maritime surveillance. Through a case study of Spain's SIVE (Sistema Integrado de Vigilancia del Exterior) surveillance system, I tease apart the Guardia Civil's technocratic claims of omni-voyance by focusing on the daily interactions between border guards, vision technologies, rescue services, Moroccan forces, and the lively materials of the borderspace itself. I employ a literary narrative in order to expose the daily breaches of control as the guards and technologies contend with the non-human elements of the borderspace, as well as their own inability to remain vigilant. Far from offering unbroken control, therefore, I argue that the vision produced through SIVE is stuttered and fragmented through both human and technological flaws. I also draw on assemblage theory in order to trace the disparate actors being drawn into the border regime. I argue that these new actors are only ever partially encountered and incorporated, however, and that as a result the system's ability to incorporate also becomes its Achilles heel. The effect is a geography of the border that foregrounds the ‘little details’ of borderwork and the volatility of the borderspace itself – thus exposing the flaws behind a scopic narrative that claims unceasing vision and an unhindered reach. © 2018 Elsevier Ltd",,"border region; maritime boundary; political geography; surveillance and enforcement; territorial management; territoriality; theoretical study; Spain",Article,"Final","",Scopus,2-s2.0-85047465821
"Blanco-Gonzalo R., Sanchez-Reillo R., Goicoechea-Telleria I., Strobl B.","54792681200;6701386871;57189040699;16040687200;","The mobile pass project: A user interaction evaluation",2018,"IEEE Transactions on Human-Machine Systems","48","3",,"311","315",,2,"10.1109/THMS.2018.2791571","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043791657&doi=10.1109%2fTHMS.2018.2791571&partnerID=40&md5=973159ebf1ba8f9282b92c3fe86adadb","University Group of Identification Technologies, Leganes, 28911, Spain; Austrian Institute of Technology, Seibersdorf, 2444, Austria","Blanco-Gonzalo, R., University Group of Identification Technologies, Leganes, 28911, Spain; Sanchez-Reillo, R., University Group of Identification Technologies, Leganes, 28911, Spain; Goicoechea-Telleria, I., University Group of Identification Technologies, Leganes, 28911, Spain; Strobl, B., Austrian Institute of Technology, Seibersdorf, 2444, Austria","The Mobile Pass project focused its efforts on developing a technologically advanced mobile equipment for land border crossing points. During the project execution, a mobile device supporting biometric recognition (face and fingerprint) and passport checking was designed and developed. To test this new equipment under an operational environment, a usability evaluation was carried out in the Sculeni border control (border of Romania with Moldavia), being the operators Romanian Policemen and the data subjects' real volunteer travelers. The equipment was used for 2 days under different conditions in real scenarios, and the usability evaluation carried out follows the ISO 9241-11:1998 standard. A total of 93 participants completed the new border checking and fulfilled a satisfaction survey at the end of the experiment. This paper describes the evaluation and reports some preliminary results on the user-Automatic Border Control system interaction and the final conclusions obtained at the end of the project, resulting in a valuable guide for designing user interaction in security areas. © 2013 IEEE.","Border control; evaluation; face recognition; fingerprint recognition; human computer interaction (HCI)","Automobiles; Face recognition; ISO Standards; Mobile devices; Palmprint recognition; Pattern recognition; Reliability; Surveys; Border control; Europe; evaluation; Fingerprint Recognition; Human Computer Interaction (HCI); Security; Usability; Human computer interaction",Article,"Final","",Scopus,2-s2.0-85043791657
