Authors;Author(s) ID;Title;Year;Source title;Cited by;DOI;Link;Abstract;Author Keywords;Index Keywords;Publisher;Language of Original Document;Abbreviated Source Title;Document Type
Vavoula N.;"56724218500;";Consultation of EU Immigration Databases for Law Enforcement Purposes: A Privacy and Data Protection Assessment;2020;European Journal of Migration and Law;1;10.1163/15718166-12340072;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091499123&doi=10.1163%2f15718166-12340072&partnerID=40&md5=bd28b8743bfd07dfa19d38bfb73a2fac;Since the past three decades, an elaborate framework of EU-wide information systems processing the personal data of third-country nationals has emerged. The vast majority of these systems (VIS, Eurodac, EES, ETIAS) are conceptualised as multi-purpose tools, whereby their consultation for crime-related objectives is listed among their ancillary objectives. As a result, immigration records may be accessed by national law enforcement authorities and Europol for the purposes of fighting terrorism and other serious crimes under specified and limited conditions. Drawing from the relevant jurisprudence of the European Court, this article evaluates whether the EU rules on law enforcement access to EU immigration databases comply with the rights to respect for private life and protection of personal data, as enshrined in Article 7 and 8 of the EU Charter respectively. In addition, challenges posed by the forthcoming interoperability between databases are also examined. © 2020 Copyright 2020 by Koninklijke Brill NV, Leiden, The Netherlands.;"databases; EES; ETIAS; Eurodac; interoperability; law enforcement; privacy; VIS";;Brill Nijhoff;English;Eur. J. Migr. Law;Review
Majcher I.;"57211937891;";The Schengen-wide entry ban: how are non-citizens’ personal data protected?;2020;Journal of Ethnic and Migration Studies;3;10.1080/1369183X.2020.1796279;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089981686&doi=10.1080%2f1369183X.2020.1796279&partnerID=40&md5=62e0e25fcb87b869b9472c4c132e5037;The article addresses the Schengen-wide entry ban, which is one of the key measures laid down in the EU Returns Directive (2008/115/EC). The entry ban entails that a non-citizen expelled from one member state is barred from returning to the whole Schengen area for up to five years, or longer in case of a threat to public policy or national security. The pan-European validity of the entry ban is ensured by an alert entered in the Schengen Information System (SIS). The alert is a set of personal data registered in the SIS which states may process to identify the person with a view of the refusal of entry. Processing personal data of non-citizens may pose a challenge to the protection of their data. The article assesses data protection rules laid down in the SIS Regulation (Regulation 1987/2006) and the Regulation which will replace it (Regulation 2018/1861). As it argues, SIS-specific data protection safeguards are frequently narrower than rules under data protection law, including the General Data Protection Regulation and Council of Europe Convention 108, and fall short of requirements flowing from the right to privacy under the European Convention of Human Rights and EU Charter of Fundamental Rights. © 2020 Informa UK Limited, trading as Taylor & Francis Group.;"Data protection; entry ban; Returns Directive; right to privacy; Schengen Information System (SIS)";;Routledge;English;J. Ethn. Migr. Stud.;Article
Inshakova A.O., Inshakova E.I., Deryugina T.V.;"56185976100;57191255542;57200075772;";Information technologies for the formation of the european space of freedom, security and justice;2020;Advances in Intelligent Systems and Computing;1;10.1007/978-3-030-39319-9_51;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081663037&doi=10.1007%2f978-3-030-39319-9_51&partnerID=40&md5=2c033dac8f192d351abaf3fb7a578495;The article is devoted to the pan-European information technologies aimed at optimizing the control of crossing the state borders of the pan-European territory, which is part of the Schengen area, taking into account such factors of development of modern reality as globalization and regionalization of the world economy, as well as the growing threat of international terrorism. Automated interstate information systems are considered in the article as a necessary measure of compensatory nature in the conditions of the common economic space functioning on the principles of freedom of movement of goods, services, capital and labor. As a result of the conducted research the priority measures of effective functioning and legal development of SIS are named and reasoned. Recommendations on legal provision of safety of functioning of network and information systems of the EU providing uninterrupted functioning of internal market are given. Formulated changes and additions to a number of existing EU instruments, in particular: Regulation EU №1987/2006. on the establishment, operation and use SIS II, Regulation on the visa information system, the EU Regulation №1987/2006 of 20.12.2006 on the establishment, operation and use of the Schengen information system (SIS II), Regulation EU №603/2013 of 26.06.2013 establishing the «Eurodac», Regulation EU 2017/2226 of 30.11.2017 establishing the entry exit - system, Regulation EU №1077/2011 of 25.10.2011 establishing a European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice, Schengen Borders Code, Visa Code. © Springer Nature Switzerland AG 2020.;"Automated information systems; Common European legal space; European space of freedom, security and justice; Information society; International regional integration association; Interstate cooperation; Legal system of the European union; Schengen achievements; Schengen agreement; Schengen informational system; Telecommunication technologies";"Artificial intelligence; Codes (symbols); Information systems; Information use; Laws and legislation; Surveying instruments; Automated information; Common European legal space; European union; Information society; Informational system; Interstate cooperation; Regional integration; Schengen achievements; Security and justices; Telecommunication technologies; Information management";Springer;English;Adv. Intell. Sys. Comput.;Conference Paper
Abomhara M., Yayilgan S.Y., Nymoen A.H., Shalaginova M., Székely Z., Elezaj O.;"36179511800;57204767591;57212506973;57212510588;36935356200;57200092624;";How to Do It Right: A Framework for Biometrics Supported Border Control;2020;Communications in Computer and Information Science;5;10.1007/978-3-030-37545-4_7;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076880851&doi=10.1007%2f978-3-030-37545-4_7&partnerID=40&md5=e3d124d00d91915f284dcfad74df25a2;Complying with the European Union (EU) perspective on human rights goes or should go together with handling ethical, social and legal challenges arising due to the use of biometrics technology as border control technology. While there is no doubt that the biometrics technology at European borders is a valuable element of border control systems, these technologies lead to issues of fundamental rights and personal privacy, among others. This paper discusses various ethical, social and legal challenges arising due to the use of biometrics technology in border control. First, a set of specific challenges and values affected were identified and then, generic considerations related to mitigation of these issues within a framework is provided. The framework is expected to meet the emergent need for supplying interoperability among multiple information systems used for border control. © Springer Nature Switzerland AG 2020.;"Biometrics; Border control; Ethical challenges; Legal challenges; Social challenges";"Interoperability; Man machine systems; Pattern recognition systems; Philosophical aspects; Social aspects; Biometrics technology; Border control; Ethical challenges; European union; Legal challenges; Multiple information systems; Personal privacy; Social challenges; Biometrics";Springer;English;Commun. Comput. Info. Sci.;Conference Paper
Peers S.;"7003830836;";Legislative Update: EC Immigration and Asylum Law, 2008: Visa Information System;2020;European Journal of Migration and Law;1;10.1163/157181609X410593;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055404573&doi=10.1163%2f157181609X410593&partnerID=40&md5=6d5af212a97212456380d626c3dbfed1;[No abstract available];;;Brill Nijhoff;English;Eur. J. Migr. Law;Review
Lo Bianco S., Princen S.B.M.;"57194073463;6506731570;";How strong is deliberation in EU intergovernmental decision making? Deliberation in the field of Justice and Home Affairs;2019;Journal of European Integration;1;10.1080/07036337.2019.1587419;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062693668&doi=10.1080%2f07036337.2019.1587419&partnerID=40&md5=869db6c411a54d53b0b1156f5cbcc335;The argument that intergovernmental decision making in the EU is not marked by bargaining alone and that occurrences of deliberation play an important role is gaining increasing recognition in the literature. In this article, we critically evaluate that claim by developing a notion of deliberation along Habermasian lines, in which deliberation is understood as a process that induces negotiating partners to change positions through argumentation. Based on this conceptualization, we explore to what extent and under which conditions deliberation is likely to occur in intergovernmental settings. To that end, we analyse decision-making on the proposal to give law enforcement authorities access to the Visa Information System. We conclude that a ‘thicker’ conceptualization yields relatively few instances of deliberation. Moreover, we identify a number of specific conditions, and interrelationships between them, that are conducive to this kind of deliberation. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.;"Constructivism; deliberation; European Union; Intergovernmentalism; Justice and Home Affairs (JHA); Visa Information System (VIS)";;Routledge;English;J. Eur. Integr.;Article
Pollozek S., Passoth J.H.;"57207944128;36661286400;";Infrastructuring European migration and border control: The logistics of registration and identification at Moria hotspot;2019;Environment and Planning D: Society and Space;26;10.1177/0263775819835819;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063345238&doi=10.1177%2f0263775819835819&partnerID=40&md5=79b8e17702e6815e14054ff085a5ff9d;This paper examines Moria hotspot in Greece as a logistical site which fulfills two different functions within the European migration and border regime. It locates, contains, and sorts individuals locally at the external borders of the EU and creates, inserts, and processes data for controlling people on the move. Based on ethnographic fieldwork in Greece, including interviews with local administrators from the Registration and Identification Service, Médecins du Monde, Frontex and Hellenic Police and a collection of internal and publicly available planning, policy, and management documents and handbooks, the paper scrutinizes how both the movement of migrants and data is organized at the site. By developing an analytic lens of logistics, it outlines a specific mode of infrastructuring which aligns staff from different organizations with databases, devices, and migrants all in one place and organizes mundane practices such as filling out forms, taking fingerprints, signing, and entering datasets along a chain. That way the hotspot is able to locate, sort, and detain those who arrive at the hardened EU border and to create a data infrastructure for controlling, monitoring, and governing further movement by processing data through the bureaucratic channels of the EU’s transnational control assemblages. © The Author(s) 2019.;"Actor-Network Theory; border; control; data; infrastructure; logistics; migration";"actor network theory; border region; bureaucracy; European Union; infrastructure planning; migration; territorial management; Greece; Moria";SAGE Publications Ltd;English;Environ. Plann. D Soc. Space;Article
Glouftsios G.;"57197773539;";Designing digital borders: The Visa Information System (VIS);2019;Technology and Agency in International Relations;4;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089992635&partnerID=40&md5=fa582a38bef6db65d5690fe5fb799f8a;[No abstract available];;;Taylor and Francis Inc.;English;Technol. and Agency in Int. Relat.;Book Chapter
Inshakova A.O., Kochetkova S.Y., Serbina E.A.;"56185976100;57210614058;57208153547;";The Schengen Information System: Legal support for the automated cross-border business management;2019;IOP Conference Series: Materials Science and Engineering;1;10.1088/1757-899X/483/1/012101;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063966861&doi=10.1088%2f1757-899X%2f483%2f1%2f012101&partnerID=40&md5=1dad8f6999e3d7bf96541848b347d903;This study examines the impact of the development of the information and communication technologies on the social, economic and political systems of the member countries of the united Europe, as well as the countries entering into business and production relations with them. The authors reveal the issues of using the Internet as a tool of the loyal border management of the united countries, ensuring the liberalization of the movement of factors of production through the creation of a single space of freedom, security and justice. The infocommunication technologies are researched as a management mechanism with regard to their influence on modern geopolitical, economic, and specifically industrial processes. The indicated approach is implemented simultaneously both as the management of the content of political relations and the management of their form. The Schengen border management information system is regarded as one of the most striking examples of the information technologies use in the political, economic, and specifically industrial sphere. The structure and legal mechanisms of this system operation are analyzed, on the basis of which the advantages and disadvantages of technological and legal nature are revealed. Special attention is paid to the analysis of the draft laws under development aimed at the improvement of the Schengen information system as an electronic technology for the automated border management of the pan-European space of freedom, security and justice. Among other things the authors have taken into account the latest changes in the legal regulation of the Schengen information system, which took place in October 2018.Taking into account the identified shortcomings in the functioning of the Schengen information system, the recommendations for their elimination are formulated. It is concluded that it is necessary to create a single European information portal in order to optimize the processing of data received from the different agencies. The general trends of the SIS II reform are the simplification and acceleration of the procedures, as well as the strengthening of the personal data protection. © Published under licence by IOP Publishing Ltd.;;"Industrial economics; Information use; Security of data; Business management; Electronic technologies; Factors of production; Industrial processs; Information and Communication Technologies; Information portals; Management mechanisms; Security and justices; Information management";Institute of Physics Publishing;English;IOP Conf. Ser. Mater. Sci. Eng.;Conference Paper
Sacco P., Muscolo F., Codispoti G., Tuozzi A.;"56513557000;57203368632;6507661149;6507306543;";Challenges and benefits of Space Technologies application in the Integrated Maritime Surveillance: The EUCISE2020 project;2019;Proceedings of the International Astronautical Congress, IAC;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079143333&partnerID=40&md5=483437060b4c414b0236f31b2ba17097;"Since 2010, the European Union launched the Integrated Maritime Policy (IMP) to promote a sustainable growth, the Blue Growth Strategy, in the marine and maritime sectors. A pillar of the IMP is the common environment of Integrated Maritime Surveillance, to improve the exchange of information among the national authorities of the operational sectors involved (transport, environmental protection, fisheries control, border control, application of the general law, customs and defense). CISE (Common Information Sharing Environment) is therefore a fundamental pillar of the European Integrated Maritime Policy and an element of the Action Plan of the European Maritime Security Strategy. CISE represents the collaborative environment on a voluntary basis among the Member States of the European Union, to achieve ""a more interoperable surveillance system to bring together existing monitoring and tracking systems used for maritime safety and security, protection of the marine environment, fisheries control, control of external borders and other law enforcement activities"". CISE implements a decentralized European environment of informative cooperation among all user communities, both civilian and military, at cross-sectoral and cross-border level, including EU agencies, developing an interoperable and information-sharing network powered by information flows coming from National and European information systems in force. This paper aims to investigate and describe the advantages and the capabilities that can be reached with an integrated use of currently in-orbit Earth Observation Systems, with traditional existing systems for the specific application of Maritime Surveillance. Copyright © 2019 by the International Astronautical Federation (IAF). All rights reserved.";"EUCISE2020; Information Sharing; Integrated Maritime Policy; Satellite services";"Environmental regulations; Fisheries; Information analysis; Interoperability; Monitoring; Orbits; Sustainable development; Waterway transportation; Collaborative environments; Earth observation systems; EUCISE2020; Exchange of information; Information sharing; Information sharing network; Monitoring and tracking; Satellite services; Information dissemination";International Astronautical Federation, IAF;English;Proc. Int. Astronaut. Congr., IAC;Conference Paper
Mahamut R.G., Cordero J.V.;"56151736800;57533846600;";The protection of asylum seeker's personal data in the (new) european common asylum system: Major challenges and serious shortcomings [La protección de los datos personales de los solicitantes de protección internacional en el (Nuevo) sistema europeo común de asilo: Grandes desafíos y graves deficiencias];2019;Teoria y Realidad Constitucional;1;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076594366&partnerID=40&md5=e695254814fe731b73610c43828fe3ef;The present work addresses an innovative legal analysis on the treatment and protection of personal data about asylum and subsidiary protection seekers in the comprehensive reform of the Common European Asylum System (CEAS). This reform, among other countless aspects, has increased the effective EU Information Management as the key to protect external borders, improve the management of migration flows and contribute to the enhancement of internal security. The applicable data protection legislation is significantly fragmented, complex and diffuse since, despite the GDPR excludes from its scope asylum-related activities, border control, and immigration is directly defined in the proposed Dublin IV, Procedures and Eurodac regulations. At the same time, the persistent linkages to the security of Member States can reflect the potential application of the Data Protection Directive on Police Matters. In addition, the interoperability of different information systems, the deployment of specific bodies (such as Frontex or EASO) as well as law enforcement authorities are bound directly by their own regulations. Consequently, this fragmented and particularly complex legal framework constitutes the subject of the study. © 2019 Universidad Nacional de Educacion a Distancia.;"Border security; CEAS reform; Data protection directive in in police matters; Dublin iv system; General data protection regulation; international protection; Protection and processing of asylum seekers personal data; Refugees; Subsidiary protection; UNHCR";;Universidad Nacional de Educacion a Distancia;Spanish;Teor. Real. Const.;Article
Scheel S.;"55762175200;";Autonomy of migration? Appropriating mobility within biometric border regimes;2019;Autonomy of Migration?: Appropriating Mobility within Biometric Border Regimes;38;10.4324/9781315269030;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068407605&doi=10.4324%2f9781315269030&partnerID=40&md5=4b5f7c66a71020f675718608eb44be88;Examining how migrants appropriate mobility in the context of biometric border controls, this volume mobilises new analytics and empirics in the debates about the politics of migration and provides an analytically effective and politically significant tool for the study of contemporary migration. Drawing from the tension between the EU’s attempt to achieve watertight border controls by means of biometric technologies, and migrants’ persistence to move to and live in the EU, the volume pursues two interrelated objectives: first, it studies the encounters between migrants and the Visa Information System (VIS), one of the largest biometric databases in the world, from the perspective of mobility in order to investigate how migrants appropriate mobility via Schengen visa within and against this biometric border regime. Second, it addresses criticisms of autonomy of migration in order to develop it as a viable approach for border, migration and critical security studies. Hence, the book is driven by two interrelated research questions: what does the assertion of moments of autonomy of migration refer to in the context of border regimes that use biometrics to turn migrants’ bodies into a means of mobility control? And how do migrants appropriate mobility via Schengen visa within and against biometric border regimes? This book will be of great interest to scholars in border, migration and critical security studies, as well as researchers engaged in citizenship studies, surveillance studies, political theory, critical IR theory and international political sociology. © 2019 Stephan Scheel.;;;Taylor and Francis;English;Autonomy of Migration?: Appropriating Mobil. within Biometric Bord. Regimes;Book
Glouftsios G.;"57197773539;";Governing circulation through technology within EU border security practice-networks;2018;Mobilities;21;10.1080/17450101.2017.1403774;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034635979&doi=10.1080%2f17450101.2017.1403774&partnerID=40&md5=58ce35f582d415231848d878e523482f;In this paper, I critically interrogate efforts to govern circulations of non-EU citizens to and within the Schengen area. I do so by dwelling on the functionalities of information systems used, among other purposes, for border security. My argument is twofold. First, I contend that circulations are governed within nexuses of technologically mediated control practices (practice-networks) performed outside, at the edges of, and inside the Schengen area. Second, I show that information systems, borders, mobile bodies, and security rationales do not remain fixed throughout the process of governing circulations, but emerge, mutate and multiply through their ongoing (re)enactment within practice-networks. © 2017 Informa UK Limited, trading as Taylor & Francis Group.;"border security; Circulation; enactment; practice-networks; technology";"European Union; political border; regional security; Europe";Routledge;English;Mobilities;Article
Voynikov V.;"57200082764;";The legal aspects of the EU visa policy [ПРАВОВЫЕ АСПЕКТЫ ВИЗОВОЙ ПОЛИТИКИ ЕС];2018;Sovremennaya Evropa;1;10.15211/soveurope420187989;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063294876&doi=10.15211%2fsoveurope420187989&partnerID=40&md5=b99fe39a49e4089574c7ffa0224f2462;"This article analyzes the EU visa policy taking into account the changes planned in the short term perspective. At the same time, the author focuses on studying the legal framework, as well as the key elements of this policy. Author believes that the system of EU legal acts regulating visa relations should be qualified as EU visa legislation, which is one of the elements of a larger system of legal acts in the field of freedom of movement of persons. The EU visa policy has two key areas: the establishment of a visa / visa-free entry regime; the establishment of the procedure and conditions for issuing short stay visas. The latter area also includes issues related to the functioning of the Visa Information System. Currently, the EU realizes the reform of the visa policy, which covers both its directions. The analysis of the ongoing reform shows that the EU, on the one hand, seeks to strengthen external borders by creating additional control mechanisms, and. on the other hand, as a compensatory measure, creates more comfortable conditions for the entry of frequent and law-abiding travelers. © 2018 Institute of Europe Russian Academy of Sciences. All rights reserved.";"EU visa policy; European area of freedom, security and justice; Schengen area; Visa code; Visa Information System";;Institute of Europe Russian Academy of Sciences;Russian;Sovrem. Evr.;Article
Järvsoo M., Norta A., Tsap V., Pappel I., Draheim D.;"57204507749;23036260500;57198350853;51764257800;57200287738;";Implementation of information security in the EU information systems: An Estonian case study;2018;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);4;10.1007/978-3-030-02131-3_15;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055853635&doi=10.1007%2f978-3-030-02131-3_15&partnerID=40&md5=d6ebd9ccd77464fd9f8000697930bafb;"In this paper we present the findings of a case-study on IT system security in the area of EU internal security and justice. We have analyzed the implementation of information security for the EU information systems EURODAC, SIS II and VIS in case of Estonia. The analysis comes in a situation, where there are multiple regulations, directives, guidelines; but it lacks a unified standard for the implementation of the member states subsystems. The main finding is that a separate standard is not necessary; however, there is a need for setting minimum requirements, ensuring security of the information systems, that come with appropriate guidelines that help the member states to achieve the minimum requirements. The second finding is that there is a need for greater cooperation and an increased knowledge exchange of the methods used in the member states. Following defined guidelines and exchanging knowledge would help to strengthen the level of security for the entire system. © IFIP International Federation for Information Processing 2018.";"EU-LISA; EURODAC; GDPR; ISO 27001; IT security; Schengen; SIS II; VIS";"Electronic commerce; Information use; Knowledge management; Security of data; EURODAC; GDPR; ISO 27001; IT security; Schengen; Information systems";Springer Verlag;English;Lect. Notes Comput. Sci.;Conference Paper
Harrington T., Urdahl S., Skinner S.W., Balchanos M.G., Garcia E., Mavris D.N.;"57201391055;57201397901;57201393542;14832145000;57198011197;57201567978;";UAV swarms for migration flow monitoring and search and rescue mission support;2018;AIAA Information Systems-AIAA Infotech at Aerospace, 2018;5;10.2514/6.2018-1489;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044619502&doi=10.2514%2f6.2018-1489&partnerID=40&md5=ac241ff111202be8bdfbe2a1c5ea55a4;A mass migration of refugees from war-torn, poverty-stricken regions to the European Union, the Mediterranean refugee crisis, calls for improved surveillance and search and rescue capabilities for destination countries. As a destination country, Greece is the gateway to the European Union for those refugees crossing the Aegean Sea by boat from Turkey. The Greek government has invested in drone technology in order to improve border control and better locate and aid refugees. This paper outlines the system of systems, agent-based modeling approach to managing Greek assets as elements of a swarm configuration, defined by swarm architecture, number of vehicle in the swarm, and the types of vehicles in the swarm. A tradespace exploration framework was built in order to analyze UAV swarm configurations to inform decision makers on proper asset management and acquisition potential. © 2018 by Thomas Harrington. Published by the American Institute of Aeronautics and Astronautics, Inc.;;"Autonomous agents; Computational methods; Decision making; Information systems; Information use; Unmanned aerial vehicles (UAV); Agent-based model; Decision makers; Mass migration; Migration flows; Number of vehicles; Search and rescue; Search-and-rescue capabilities; Trade space explorations; Aviation";American Institute of Aeronautics and Astronautics Inc, AIAA;English;Inf. Syst.- Infotech Aerosp.;Conference Paper
Cicǎ C., Filipoaia L.;"57191571469;57191570860;";Sustainability enabling research methods for development of integrated border security systems;2017;Proceedings of the 9th International Conference on Electronics, Computers and Artificial Intelligence, ECAI 2017;1;10.1109/ECAI.2017.8166519;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043347111&doi=10.1109%2fECAI.2017.8166519&partnerID=40&md5=7e89b44d39bd0f7021c22181d31ff919;One of the main priorities for an effective and sustainable Security Union refers to the improvement of information exchange, strengthening information systems and enhancing security at the external borders of the European Union (EU). Recent research projects financed at EU level under Security theme calls are approaching the development of modern technologies and concepts, either for border surveillance and control, or for enhancing IT&C interoperability and common sharing environment enabling for law enforcement agencies. This paper addresses specific new Research&Development (R&D) projects types (i.e. preoperational validation and pre-commercial procurement), aiming to validate them as sustainability enabling research methods for the development of integrated border security systems. In this sense, the paper applies the sustainable development definition elaborated in previous work and provides some specific general Key Performance Indicators (KPIs) / Measures of Effectiveness (MoEs). © 2017 IEEE.;"Border security; Pre-commercial procurement; Pre-operational validation; Sustainable development";"Artificial intelligence; Benchmarking; Environmental regulations; Planning; Security systems; Border security; Border surveillance; Information exchanges; Key performance indicators; Law-enforcement agencies; Modern technologies; Operational validation; Pre-commercial procurement; Sustainable development";Institute of Electrical and Electronics Engineers Inc.;English;Proc. Int. Conf. Electron., Comput. Artif. Intell., ECAI;Conference Paper
Massinas B.A., Doulamis A., Doulamis N., Paradissis D.;"24483396800;35565008000;7003749049;6603132212;";Temporal feature variation as an efficient method for real-time video summarization captured from unmanned aerial systems;2017;AIAA Information Systems-AIAA Infotech at Aerospace, 2017;;10.2514/6.2017-1376;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088771464&doi=10.2514%2f6.2017-1376&partnerID=40&md5=b9b31c7a318bacb7035c0f6d55a0bbd5;A complete coverage of the earth surface can be achieved through the exploitation of aerial systems and unmanned devices. One critical application domain for Unmanned Aerial Systems (UAS) streaming is border security, mapping and precise agriculture. Regarding the first issue, the current political evolutions in the wide region of south eastern European territory reveals the significance for a wide surveillance. This is also valid in agriculture to get a more precise and high quality production. However, efficient access to video data located on Unmanned Aircraft Vehicles (UAVs) and real-time streaming is an arduous task due to large bandwidth requirements imposed by the video sequences and the unstable capacity and bandwidth of the wireless channel. In addition, the traditional representation of a video sequence as a stream of consecutive frames is not reliable for new emerging applications needed in aerial vehicles such as content indexing, retrieval and non-linear access and browsing. This reveals the need for the implementation of non-linear tools enabling the efficient summarization of the visual content. Summarization refers to the process of creating compact summaries of the Audio-Video (AV) content that facilitate discovery, browsing and navigation of the AV content. In this paper, we propose a fast video summarization algorithm that enables the extraction of key frames from UAV-captured videos. The algorithm exploits the curvature of the magnitude of visual feature trajectory to detect content fluctuations both in time and in space. Experiments on real-life aerial data reveal the efficiency of the proposed schemes. © 2017, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;;"Agricultural robots; Agriculture; Antennas; Aviation; Bandwidth; Information systems; Information use; Unmanned aerial vehicles (UAV); Video recording; Bandwidth requirement; Critical applications; Emerging applications; Precise agriculture; Real time streaming; Real-time video summarizations; Unmanned aerial systems; Unmanned aircrafts; Real time systems";American Institute of Aeronautics and Astronautics Inc, AIAA;English;Inf. Syst. Infotech Aerosp.;Conference Paper
Ceyhan A.;"6701378182;";Policing by dossier: Identification and surveillance in an era of uncertainty and fear;2017;Controlling Frontiers: Free Movement Into and Within Europe;5;10.4324/9781315259321-7;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082273333&doi=10.4324%2f9781315259321-7&partnerID=40&md5=e6e1bfe29c8277d714f1d9a518c0eb5e;"Governments affirm that the underlying idea is to modernize the cumbersome bureaucracy by making it easy to obtain personal information through nationwide databases. This chapter analyzes the appetite for identification and identity in the context of a post-bipolar, post-Westphalian and globalized world. It examines how it is intrinsically related to the transformations of security preoccupations and to the perceptions of the enemy in the new context as well as to the fear of the unknown and uncertainty. Schengen Information System (SIS) is a computerized information system on persons, stolen vehicles, and objects for the use of border control authorities, customs, and national police. It relies on increased policing behind borders and extensive cross-border police cooperation between Schengen members. The chapter asserts that the enhanced development of identification and surveillance technologies leads to the creation of what Laudon calls a ""dossier society"". It concludes by stressing the shift to a new form of surveillance generated by these transformations. © Didier Bigo and Elspeth Guild 2005.";;;Taylor and Francis;English;Controlling Frontiers: Free Movement Into and Within Europe;Book Chapter
Parmar P.A., Degadwala S.D.;"57192558064;57192540864;";A feature level fusion fingerprint indexing approach based on MV and MCC using SVM classifier;2016;International Conference on Communication and Signal Processing, ICCSP 2016;2;10.1109/ICCSP.2016.7754304;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006810850&doi=10.1109%2fICCSP.2016.7754304&partnerID=40&md5=d468bc13c9232c1e69b828cee299cd8c;Now a day, the biometric traits are widely used due to the growing demand for secure and reliable identification of an individual. Fingerprint is used by many fields like military for border control and government applications in India as the Aadhaar project, in Europe as the Visa Information System (VIS), in USA as the US-VISIT/IDENT which generally contain billions of samples of fingerprints. In this paper, we propose a fingerprint indexing scheme at feature level fusion based on Minutiae Vicinity and Minutiae Cylindrical Code and a support-vector-machine-based learning algorithm is used to train the system using the feature extracted which will improve the efficiency in seeking a candidate reference list from large scale biometric data databases, where the personality related with the input data is dictated by contrasting it with each and every entry in the database. This coordinating procedure is tedious and conceivably increments, the rate of wrong identification, hence we propose a new fingerprint indexing approach which would improve the performance of the system. © 2016 IEEE.;"Biometric; Fingerprint; Indexing; Minutiae";"Biometrics; Indexing (of information); Military applications; Support vector machines; Biometric traits; Feature level fusion; Fingerprint; Fingerprint indexing; Minutiae; Reference list; SVM classifiers; Visa information systems; Signal processing";Institute of Electrical and Electronics Engineers Inc.;English;Int. Conf. Commun. Signal Process., ICCSP;Conference Paper
